Title,Mentions LLM Limitations
Title,Mentions LLM Limitations
AdapLeR: Speeding up Inference by Adaptive Length Reduction,no
AlephBERT: Language Model Pre-training and Evaluation from Sub-Word to Sentence Level,yes
GLM: General Language Model Pretraining with Autoregressive Blank Infilling,yes
Towards Comprehensive Patent Approval Predictions:Beyond Traditional Document Classification,yes
Mix and Match: Learning-free Controllable Text Generationusing Energy Language Models,no
Answer-level Calibration for Free-form Multiple Choice Question Answering,yes
Meta-learning via Language Model In-context Tuning,yes
Language-agnostic BERT Sentence Embedding,no
CogTaskonomy: Cognitively Inspired Task Taxonomy Is Beneficial to Transfer Learning in NLP,no
RoCBert: Robust Chinese Bert with Multimodal Contrastive Pretraining,yes
Multi-Granularity Structural Knowledge Distillation for Language Model Compression,no
Auto-Debias: Debiasing Masked Language Models with Automated Biased Prompts,yes
Semi-supervised Domain Adaptation for Dependency Parsing with Dynamic Matching Network,no
A Closer Look at How Fine-tuning Changes BERT,yes
Tracing Origins: Coreference-aware Machine Reading Comprehension,no
Better Language Model with Hypernym Class Prediction,no
Few-Shot Tabular Data Enrichment Using Fine-Tuned Transformer Architectures,no
Domain Knowledge Transferring for Pre-trained Language Model via Calibrated Activation Boundary Distillation,no
Probing as Quantifying Inductive Bias,no
GPT-D: Inducing Dementia-related Linguistic Anomalies by Deliberate Degradation of Artificial Neural Language Models,yes
Exploring and Adapting Chinese GPT to Pinyin Input Method,no
Predicting Intervention Approval in Clinical Trials through Multi-Document Summarization,no
Distributionally Robust Finetuning BERT for Covariate Drift in Spoken Language Understanding,yes
Enhancing Chinese Pre-trained Language Model via Heterogeneous Linguistics Graph,no
Investigating Non-local Features for Neural Constituency Parsing,no
bert2BERT: Towards Reusable Pretrained Language Models,no
CTRLEval: An Unsupervised Reference-Free Metric for Evaluating Controlled Text Generation,yes
Are Prompt-based Models Clueless?,yes
Conditional Bilingual Mutual Information Based Adaptive Training for Neural Machine Translation,no
Bottom-Up Constituency Parsing and Nested Named Entity Recognition with Pointer Networks,no
