Title,Mentions LLM Limitations
ACLM: A Selective-Denoising based Generative Data Augmentation Approach for Low-Resource Complex NER,yes
Natural Language to Code Generation in Interactive Data Science Notebooks,no
MIL-Decoding: Detoxifying Language Models at Token-Level via Multiple Instance Learning,yes
A Method for Studying Semantic Construal in Grammatical Constructions with Interpretable Contextual Embedding Spaces,no
Text Adversarial Purification as Defense against Adversarial Attacks,yes
Tailor: A Soft-Prompt-Based Approach to Attribute-Based Controlled Text Generation,no
Knowledge of cultural moral norms in large language models,yes
Revealing Single Frame Bias for Video-and-Language Learning,no
World-to-Words: Grounded Open Vocabulary Acquisition through Fast Mapping in Vision-Language Models,no
A Causal Framework to Quantify the Robustness of Mathematical Reasoning with Language Models,yes
Increasing Diversity While Maintaining Accuracy: Text Data Generation with Large Language Models and Human Interventions,yes
Do Androids Laugh at Electric Sheep? Humor “Understanding” Benchmarks from The New Yorker Caption Contest,no
Self-Edit: Fault-Aware Code Editor for Code Generation,yes
Multi-CLS BERT: An Efficient Alternative to Traditional Ensembling,no
Does GPT-3 Grasp Metaphors? Identifying Metaphor Mappings with Generative Language Models,yes
ALERT: Adapt Language Models to Reasoning Tasks,yes
Glot500: Scaling Multilingual Corpora and Language Models to 500 Languages,yes
Pretrained Bidirectional Distillation for Machine Translation,yes
ThinkSum: Probabilistic reasoning over sets using large language models,yes
Synthetic Text Generation with Differential Privacy: A Simple and Practical Recipe,yes
Cross-Domain Data Augmentation with Domain-Adaptive Language Modeling for Aspect-Based Sentiment Analysis,yes
Marked Personas: Using Natural Language Prompts to Measure Stereotypes in Language Models,yes
Vision Meets Definitions: Unsupervised Visual Word Sense Disambiguation Incorporating Gloss Information,no
Elaboration-Generating Commonsense Question Answering at Scale,yes
DaMSTF: Domain Adversarial Learning Enhanced Meta Self-Training for Domain Adaptation,yes
Precise Zero-Shot Dense Retrieval without Relevance Labels,no
Do language models have coherent mental models of everyday things?,yes
Instruction Induction: From Few Examples to Natural Language Task Descriptions,no
Peek Across: Improving Multi-Document Modeling via Cross-Document Question-Answering,no
ELQA: A Corpus of Metalinguistic Questions and Answers about English,no
Schema-Guided User Satisfaction Modeling for Task-Oriented Dialogues,no
Robust Multi-bit Natural Language Watermarking through Invariant Features,no
"KALM: Knowledge-Aware Integration of Local, Document, and Global Contexts for Long Document Understanding",yes
SimLM: Pre-training with Representation Bottleneck for Dense Passage Retrieval,no
Z-ICL: Zero-Shot In-Context Learning with Pseudo-Demonstrations,yes
Cold-Start Data Selection for Better Few-shot Language Model Fine-tuning: A Prompt-based Uncertainty Propagation Approach,no
Training-free Neural Architecture Search for RNNs and Transformers,yes
Plan-and-Solve Prompting: Improving Zero-Shot Chain-of-Thought Reasoning by Large Language Models,yes
Symbolic Chain-of-Thought Distillation: Small Models Can Also “Think” Step-by-Step,yes
Generating EDU Extracts for Plan-Guided Summary Re-Ranking,no
Towards Understanding Chain-of-Thought Prompting: An Empirical Study of What Matters,yes
RMLM: A Flexible Defense Framework for Proactively Mitigating Word-level Adversarial Attacks,no
DiffusEmp: A Diffusion Model-Based Framework with Multi-Grained Control for Empathetic Response Generation,no
Dynamic and Efficient Inference for Text Generation via BERT Family,yes
Did You Read the Instructions? Rethinking the Effectiveness of Task Definitions in Instruction Learning,no
Interpretable Word Sense Representations via Definition Generation: The Case of Semantic Change Analysis,no
An Invariant Learning Characterization of Controlled Text Generation,yes
HyPe: Better Pre-trained Language Model Fine-tuning with Hidden Representation Perturbation,yes
Word sense extension,no
Decoding Symbolism in Language Models,yes
A Survey on Zero Pronoun Translation,yes
Alleviating Over-smoothing for Unsupervised Sentence Representation,yes
From Characters to Words: Hierarchical Pre-trained Language Model for Open-vocabulary Language Understanding,no
MatSci-NLP: Evaluating Scientific Language Models on Materials Science Language Tasks Using Text-to-Schema Modeling,no
Code4Struct: Code Generation for Few-Shot Event Structure Prediction,yes
Tree-Based Representation and Generation of Natural and Mathematical Language,no
Entity Tracking in Language Models,yes
Faithful Question Answering with Monte-Carlo Planning,yes
Analyzing and Reducing the Performance Gap in Cross-Lingual Transfer with Fine-tuning Slow and Fast,yes
Social-Group-Agnostic Bias Mitigation via the Stereotype Content Model,yes
Revisiting the Gold Standard: Grounding Summarization Evaluation with Robust Human Evaluation,yes
FIREBALL: A Dataset of Dungeons and Dragons Actual-Play with Structured Game State Information,yes
Distilling Script Knowledge from Large Language Models for Constrained Language Planning,yes
CELDA: Leveraging Black-box Language Model as Enhanced Classifier without Labels,yes
MvP: Multi-view Prompting Improves Aspect Sentiment Tuple Prediction,no
Explanation-based Finetuning Makes Models More Robust to Spurious Cues,yes
CAME: Confidence-guided Adaptive Memory Efficient Optimization,no
"On Second Thought, Let’s Not Think Step by Step! Bias and Toxicity in Zero-Shot Reasoning",yes
Solving Math Word Problems via Cooperative Reasoning induced Language Models,yes
DiffusionBERT: Improving Generative Masked Language Models with Diffusion Models,no
Enhancing Dialogue Generation via Dynamic Graph Knowledge Aggregation,no
Unified Demonstration Retriever for In-Context Learning,no
Hidden Schema Networks,no
"Don’t Generate, Discriminate: A Proposal for Grounding Language Models to Real-World Environments",yes
Z-Code++: A Pre-trained Language Model Optimized for Abstractive Summarization,no
Unsupervised Graph-Text Mutual Conversion with a Unified Pretrained Language Model,no
Randomized Smoothing with Masked Inference for Adversarially Robust Text Classifications,yes
MetaAdapt: Domain Adaptive Few-Shot Misinformation Detection via Meta Learning,yes
Making Language Models Better Reasoners with Step-Aware Verifier,yes
MISGENDERED: Limits of Large Language Models in Understanding Pronouns,yes
Reasoning with Language Model Prompting: A Survey,no
DISCO: Distilling Counterfactuals with Large Language Models,yes
SCOTT: Self-Consistent Chain-of-Thought Distillation,yes
