title,Mentions LLM Limitations
Still No Lie Detector for Language Models: Probing Empirical and Conceptual Roadblocks,yes
Large Language Models (GPT) for automating feedback on programming assignments,yes
Meta-training with Demonstration Retrieval for Efficient Few-shot Learning,yes
Performance of ChatGPT on USMLE: Unlocking the Potential of Large Language Models for AI-Assisted Medical Education,no
Ticket-BERT: Labeling Incident Management Tickets with Language Models,yes
Queer People are People First: Deconstructing Sexual Identity Stereotypes in Large Language Models,yes
SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs,no
Statler: State-Maintaining Language Models for Embodied Reasoning,no
Meta-Reasoning: Semantics-Symbol Deconstruction for Large Language Models,yes
Stay on topic with Classifier-Free Guidance,no
Thompson sampling for improved exploration in GFlowNets,no
Biomedical Language Models are Robust to Sub-optimal Tokenization,yes
Large Language Models are Effective Text Rankers with Pairwise Ranking Prompting,yes
"MeLM, a generative pretrained language modeling framework that solves forward and inverse mechanics problems",no
GPT-FinRE: In-context Learning for Financial Relation Extraction using Large Language Models,no
Preference Ranking Optimization for Human Alignment,yes
Harnessing LLMs in Curricular Design: Using GPT-4 to Support Authoring of Learning Objectives,no
Provable Robust Watermarking for AI-Generated Text,yes
LMBot: Distilling Graph Knowledge into Language Model for Graph-less Deployment in Twitter Bot Detection,yes
Japanese Lexical Complexity for Non-Native Readers: A New Dataset,no
SummQA at MEDIQA-Chat 2023:In-Context Learning with GPT-4 for Medical Summarization,yes
Towards Open-Domain Topic Classification,no
Modeling Parallel Programs using Large Language Models,yes
DisasterResponseGPT: Large Language Models for Accelerated Plan of Action Development in Disaster Response Scenarios,yes
Could Small Language Models Serve as Recommenders? Towards Data-centric Cold-start Recommendations,yes
A Hybrid System for Systematic Generalization in Simple Arithmetic Problems,no
"Generative AI for Programming Education: Benchmarking ChatGPT, GPT-4, and Human Tutors",yes
LLaVAR: Enhanced Visual Instruction Tuning for Text-Rich Image Understanding,no
LyricWhiz: Robust Multilingual Zero-shot Lyrics Transcription by Whispering to ChatGPT,no
Concept-Oriented Deep Learning with Large Language Models,yes
RAPGen: An Approach for Fixing Code Inefficiencies in Zero-Shot,no
Classifying Crime Types using Judgment Documents from Social Media,no
UMASS_BioNLP at MEDIQA-Chat 2023: Can LLMs generate high-quality synthetic note-oriented doctor-patient conversations?,yes
From Query Tools to Causal Architects: Harnessing Large Language Models for Advanced Causal Discovery from Data,yes
Learning Environment Models with Continuous Stochastic Dynamics,no
Harnessing the Power of Hugging Face Transformers for Predicting Mental Health Disorders in Social Networks,no
Benchmarking Large Language Model Capabilities for Conditional Generation,yes
SRL: Scaling Distributed Reinforcement Learning to Over Ten Thousand Cores,no
Evaluating ChatGPT's Decimal Skills and Feedback Generation in a Digital Learning Game,yes
A negation detection assessment of GPTs: analysis with the xNot360 dataset,yes
CMATH: Can Your Language Model Pass Chinese Elementary School Math Test?,yes
An Efficient Sparse Inference Software Accelerator for Transformer-based Language Models on CPUs,no
Automatic Calibration and Error Correction for Generative Large Language Models via Pareto Optimal Self-Supervision,yes
Palm: Predicting Actions through Language Models @ Ego4D Long-Term Action Anticipation Challenge 2023,yes
