Title,Mentions LLM Limitations
Evaluating Modular Dialogue System for Form Filling Using Large Language Models,yes
Improving Cross-Domain Low-Resource Text Generation through LLM Post-Editing: A Programmer-Interpreter Approach,yes
Re3val: Reinforced and Reranked Generative Retrieval,yes
Reward Engineering for Generating Semi-structured Explanation,yes
Are Large Language Model-based Evaluators the Solution to Scaling Up Multilingual Evaluation?,yes
Why Generate When You Can Discriminate? A Novel Technique for Text Classification using Language Models,no
Evaluating Large Language Models Trained on Code,yes
Fine-tuning CLIP Text Encoders with Two-step Paraphrasing,yes
ICE-Score: Instructing Large Language Models to Evaluate Code,yes
Transformer-specific Interpretability,yes
Can docstring reformulation with an LLM improve code generation?,yes
Equipping Language Models with Tool Use Capability for Tabular Data Analysis in Finance,yes
Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-following LLM,yes
Document-Level Language Models for Machine Translation,yes
ChatGPT MT: Competitive for High- (but Not Low-) Resource Languages,yes
"Large Language Models Effectively Leverage Document-level Context for Literary Translation, but Critical Errors Persist",yes
"Machine Translation with Large Language Models: Prompting, Few-shot Learning, and Fine-tuning with QLoRA",yes
"Automating Behavioral Testing in Machine Translation",no
"ChatGPT for Suicide Risk Assessment on Social Media: Quantitative Evaluation of Model Performance, Potentials and Limitations",yes
GenIE: Generative Information Extraction,no
Quantifying Adaptability in Pre-trained Language Models with 500 Tasks,yes
PreCogIIITH at HinglishEval: Leveraging Code-Mixing Metrics & Language Model Embeddings To Estimate Code-Mix Quality,yes
AmbiFC: Fact-Checking Ambiguous Claims with Evidence,yes
Language Varieties of Italy: Technology Challenges and Opportunities,yes
Benchmarking Large Language Models for News Summarization,yes
mGPT: Few-Shot Learners Go Multilingual,no
Large Language Models of Code Fail at Completing Code with Potential Bugs,yes
Cultural Adaptation of Recipes,yes
Metric-Free Learning Network with Dual Relations Propagation for Few-Shot Aspect Category Sentiment Analysis,no
Addressing the Binning Problem in Calibration Assessment through Scalar Annotations,no
An Energy-based Model for Word-level AutoCompletion in Computer-aided Translation,yes
Lost in the Middle: How Language Models Use Long Contexts,yes
Red Teaming Language Model Detectors with Language Models,yes
Text Attribute Control via Closed-Loop Disentanglement,no
Unifying Structured Data as Graph for Data-to-Text Pre-Training,no
Exploring Human-Like Translation Strategy with Large Language Models,yes
Retrieve What You Need: A Mutual Learning Framework for Open-domain Question Answering,no
Evaluating the Ripple Effects of Knowledge Editing in Language Models,yes
The Impact of Word Splitting on the Semantic Content of Contextualized Word Representations,yes
Large Language Models Enable Few-Shot Clustering,no
JustiLM: Few-shot Justification Generation for Explainable Fact-Checking of Real-world Claims,no
To Diverge or Not to Diverge: A Morphosyntactic Perspective on Machine Translation vs Human Translation,yes
What Do Self-Supervised Speech Models Know About Words?,no
Are Character-level Translations Worth the Wait? Comparing ByT5 and mT5 for Machine Translation,no
Geographic Adaptation of Pretrained Language Models,no
Do Text Simplification Systems Preserve Meaning? A Human Evaluation via Reading Comprehension,yes
Text-to-OverpassQL: A Natural Language Interface for Complex Geodata Querying of OpenStreetMap,yes
Eliciting the Translation Ability of Large Language Models via Multilingual Finetuning with Translation Instructions,yes
Semantics of Multiword Expressions in Transformer-Based Models: A Survey,yes
