Title,Talks about LLMs,Rate,Evidence
AlephBERT: Language Model Pre-training and Evaluation from Sub-Word to Sentence Level,Yes.,1.,"""First, so far, Hebrew resources for training large language models are not of the same magnitude as their English counterparts. Second, most benchmarks available to evaluate progress in Hebrew NLP require morphological boundaries which are not available in the output of standard PLMs."""
GLM: General Language Model Pretraining with Autoregressive Blank Infilling,Yes.,1.,"""We propose a General Language Model (GLM) based on autoregressive blank infilling to address this challenge."""
Towards Comprehensive Patent Approval Predictions:Beyond Traditional Document Classification,No.,1.,The abstract focuses on patent approval predictions and does not mention language models or their limitations.
Answer-level Calibration for Free-form Multiple Choice Question Answering,Yes.,3.,"""it often requires task-specific heuristics such as length normalization, or probability calibration."""
Meta-learning via Language Model In-context Tuning,Yes.,1.,"""Inspired by the recent progress in large language models,"" and ""we fine-tune a pre-trained language model (LM) to predict the target label given the input sequence on a collection of tasks."""
RoCBert: Robust Chinese Bert with Multimodal Contrastive Pretraining,Yes.,3.,"""Large-scale pretrained language models have achieved SOTA results on NLP tasks. However, they have been shown vulnerable to adversarial attacks especially for logographic languages like Chinese."""
Auto-Debias: Debiasing Masked Language Models with Automated Biased Prompts,Yes.,4.,"""Human-like biases and undesired social stereotypes exist in large pretrained language models. Given the wide adoption of these models in real-world applications, mitigating such biases has become an emerging and important task."""
A Closer Look at How Fine-tuning Changes BERT,Yes.,1.,"""Finally, by comparing the representations before and after fine-tuning, we discover that fine-tuning does not introduce arbitrary changes to representations; instead, it adjusts the representations to downstream tasks while largely preserving the original spatial structure of the data points."""
GPT-D: Inducing Dementia-related Linguistic Anomalies by Deliberate Degradation of Artificial Neural Language Models,Yes.,2.,"""questions remain about their ability to generalize beyond the small reference sets that are publicly available for research."""
Distributionally Robust Finetuning BERT for Covariate Drift in Spoken Language Understanding,Yes.,2.,"""Experiments show that a state-of-the-art BERT-based model suffers performance loss under this drift."""
CTRLEval: An Unsupervised Reference-Free Metric for Evaluating Controlled Text Generation,Yes.,1.,"""Experimental results show that our metric has higher correlations with human judgments than other baselines, while obtaining better generalization of evaluating generated texts from different models and with different qualities."""
