Title,Talks about LLMs,Rate,Evidence
IAG: Induction-Augmented Generation Framework for Answering Reasoning Questions,Yes.,2,"""common knowledge bases are inherently constrained by limited coverage and noisy information, making retrieval-based approaches inadequate to answer implicit reasoning questions."""
Primacy Effect of ChatGPT,Yes.,5,"""ChatGPT’s decision is sensitive to the order of labels in the prompt; ChatGPT has a clearly higher chance to select the labels at earlier positions as the answer."""
Evaluating the Rationale Understanding of Critical Reasoning in Logical Reading Comprehension,Yes.,5,"""Experiments on our dataset show that recent large language models (e.g., InstructGPT) struggle to answer the subquestions even if they are able to answer the main questions correctly. We find that the models perform particularly poorly in answering subquestions written for the incorrect options"
Theory of Mind for Multi-Agent Collaboration via Large Language Models,Yes.,5,"""Our results reveal limitations in LLM-based agents’ planning optimization due to systematic failures in managing long-horizon contexts and hallucination about the task state."""
Establishing Trustworthiness: Rethinking Tasks and Model Evaluation,Yes.,2,"""the traditional compartmentalized notion of language tasks is breaking down, followed by an increasing challenge for evaluation and analysis."""
GPTAraEval: A Comprehensive Evaluation of ChatGPT on Arabic NLP,Yes.,5,"""our work adds to a growing body of research underscoring the limitations of ChatGPT."""
Evaluating Object Hallucination in Large Vision-Language Models,,,
Parameter-efficient Tuning for Large Language Model without Calculating Its Gradients,Yes.,3,"""Fine-tuning all parameters of large language models (LLMs) requires significant computational resources and is time-consuming."" and ""However, they can only save approximately 30% of the training memory requirements, due to the problem that gradient computation and backpropagation are still necessary for these methods."""
CompoundPiece: Evaluating and Improving Decompounding Performance of Language Models,Yes.,5,"""We find that LLMs perform poorly, especially on words which are tokenized unfavorably by subword tokenization."""
How to Enhance Causal Discrimination of Utterances: A Case on Affective Reasoning,Yes.,3,"""Almost all existing models, including large language models (LLMs), excel at capturing semantic correlations within utterance embeddings but fall short in determining the specific causal relationships."""
Temporal Knowledge Graph Forecasting Without Knowledge Using In-Context Learning,Yes.,1,"""We observe that naive LLMs perform on par with SOTA models,"" and ""Our analysis also reveals that ICL enables LLMs to learn irregular patterns from the historical context, going beyond frequency and recency biases."""
Knowledge Graph Compression Enhances Diverse Commonsense Generation,Yes.,3,"""the extracted subgraphs may contain loosely related, redundant and irrelevant information, which can introduce noise into the model."" and ""our model achieves better quality-diversity tradeoff than a large language model with 100 times the number of parameters."""
LLM-FP4: 4-Bit Floating-Point Quantized Transformers,Yes.,1,"""We propose LLM-FP4 for quantizing both weights and activations in large language models (LLMs) down to 4-bit floating-point values, in a post-training manner."""
LLM-powered Data Augmentation for Enhanced Cross-lingual Performance,Yes.,3,"""LLMs such as ChatGPT and GPT-4 excel at producing natural and coherent text in most languages, however, they struggle to generate meaningful text in certain languages like Tamil"" and ""ChatGPT falls short in generating plausible alternatives compared to the original dataset."""
