Title,Talks about LLMs,Rate,Evidence
Title,Talks about LLMs,Rate,Evidence
Title,Talks about LLMs,Rate,Evidence
Learning Natural Language Generation with Truncated Reinforcement Learning,Yes.,1.,"""TrufLL thus enables to train a language agent by solely interacting with its environment without any task-specific prior knowledge; it is only guided with a task-agnostic language model."""
Language Model Augmented Monotonic Attention for Simultaneous Translation,Yes.,1.,"""we propose a framework to aid monotonic attention with an external language model to improve its decisions."""
Enhancing Self-Attention with Knowledge-Assisted Attention Maps,Yes.,3.,"""the attention maps, which record the attention scores between tokens in self-attention mechanism, are sometimes ineffective as they are learned implicitly without the guidance of explicit semantic knowledge."""
Knowledge-Grounded Dialogue Generation with a Unified Knowledge Representation,Yes.,1.,"""Knowledge-grounded dialogue systems are challenging to build due to the lack of training data and heterogeneous knowledge sources."""
Reframing Human-AI Collaboration for Generating Free-Text Explanations,Yes.,3.,"""while models often produce factual, grammatical, and sufficient explanations, they have room to improve along axes such as providing novel information and supporting the label."""
Provably Confidential Language Modelling,Yes.,5.,"""Large language models are shown to memorize privacy information such as social security numbers in training data."""
"When a sentence does not introduce a discourse entity, Transformer-based models still sometimes refer to it",Yes.,5.,"""We find that while the models are to a certain extent sensitive to the interactions we investigate, they are all challenged by the presence of multiple NPs and their behavior is not systematic, which suggests that even models at the scale of GPT-3 do not fully acquire basic entity tracking abilities."""
Towards a Progression-Aware Autonomous Dialogue Agent,Yes.,3.,"""While these agents excel at generating high-quality responses that are relevant to prior context, they suffer from a lack of awareness of the overall direction in which the conversation is headed, and the likelihood of task success inherent therein."""
Cross-Domain Detection of GPT-2-Generated Technical Text,Yes.,1.,"""we examine the problem of detecting GPT-2-generated technical research text."""
Context-Aware Abbreviation Expansion Using Large Language Models,,,
Sort by Structure: Language Model Ranking as Dependency Probing,Yes.,1.,"""Making an informed choice of pre-trained language model (LM) is critical for performance, yet environmentally costly, and as such widely underexplored."""
SKILL: Structured Knowledge Infusion for Large Language Models,Yes.,2.,"""However, it is largely unexplored whether they can better internalize knowledge from a structured data, such as a knowledge graph, or from text."""
MoEBERT: from BERT to Mixture-of-Experts via Importance-Guided Adaptation,,,
