Title,Talks about LLMs,Rate,Evidence,Published
Named Entity Recognition Under Domain Shift via Metric Learning for Life Sciences,Yes.,3.,"""Named entity recognition is a key component of Information Extraction (IE), particularly in scientific domains such as biomedicine and chemistry, where large language models (LLMs), e.g., ChatGPT, fall short.""",2024
Assessing Logical Puzzle Solving in Large Language Models: Insights from a Minesweeper Case Study,Yes.,5.,"""Despite these advancements, it remains an open question whether LLMs are fundamentally capable of reasoning and planning, or if they primarily rely on recalling and synthesizing information from their training data."" and ""Our experiments, including trials with the advanced GPT-4 model, indicate that while LLMs possess the foundational abilities required for this task, they struggle to integrate these into a coherent,",2024
On Linearizing Structured Data in Encoder-Decoder Language Models: Insights from Text-to-SQL,Yes.,3.,"""Crucially, there remains a gap in our understanding of how these linearization-based methods handle structured data, which is inherently non-linear.""",2024
Measuring and Improving Chain-of-Thought Reasoning in Vision-Language Models,Yes.,5.,"""even the best-performing model is unable to demonstrate strong visual reasoning capabilities and consistency, indicating that substantial efforts are required to enable VLMs to perform visual reasoning as systematically and consistently as humans.""",2024
Adaptive Rank Selections for Low-Rank Approximation of Language Models,Yes.,3.,"""However, such a uniform rank selection is sub-optimal since different operations (layers) have non-uniform demand in capacity."" and ""However, a globally-optimized selection of ranks for neural networks is still an open problem, and this is a non-trivial challenge since the selection is discrete.""",2024
Unleashing the Emergent Cognitive Synergy in Large Language Models: A Task-Solving Agent through Multi-Persona Self-Collaboration,Yes.,2.,"""experimental results demonstrate that SPP effectively reduces factual hallucination, and maintains strong reasoning capabilities. Additionally, comparative experiments show that cognitive synergy only emerges in GPT-4 and does not appear in less capable models, such as GPT-3.5-turbo and Llama2-13b-chat.""",2024
Self-Prompting Large Language Models for Zero-Shot Open-Domain QA,Yes.,3.,"""While recent Large Language Models (LLMs) like GPT-3 have demonstrated their effectiveness in zero-shot ODQA using direct prompting methods, these methods still fall short of fully harnessing the potential of LLMs when implicitly invoked.""",2024
Head-to-Tail: How Knowledgeable are Large Language Models (LLMs)? A.K.A. Will LLMs Replace Knowledge Graphs?,Yes.,5.,"""we show that existing LLMs are still far from being perfect in terms of their grasp of factual knowledge, especially for facts of torso-to-tail entities.""",2024
LLMs Are Few-Shot In-Context Low-Resource Language Learners,Yes.,3.,"""Nonetheless, there is only a handful of works explored ICL for low-resource languages with most of them focusing on relatively high-resource languages, such as French and Spanish."" and ""identifies the shortcomings of in-context label alignment, and introduces a more effective alternative",2024
Rethinking Tabular Data Understanding with Large Language Models,Yes.,3.,"""We discover that structural variance of tables presenting the same content reveals a notable performance decline, particularly in symbolic reasoning tasks.""",2024
FLAP: Flow-Adhering Planning with Constrained Decoding in LLMs,Yes.,3.,"""However, the faithfulness of the plans to predefined workflows and API dependencies, is not guaranteed with LLMs.""",2024
Embrace Divergence for Richer Insights: A Multi-document Summarization Benchmark and a Case Study on Summarizing Diverse Information from News Articles,Yes.,5.,"""Our analyses suggest that despite the extraordinary capabilities of LLMs in single-document summarization, the proposed task remains a complex challenge for them mainly due to their limited coverage, with GPT-4 only able to cover under 40% of the diverse information on average.""",2024
ALoRA: Allocating Low-Rank Adaptation for Fine-tuning Large Language Models,Yes.,1.,"""Parameter-efficient fine-tuning (PEFT) is widely studied for its effectiveness and efficiency in the era of large language models.""",2024
InsCL: A Data-efficient Continual Learning Paradigm for Fine-tuning Large Language Models with Instructions,Yes.,3.,"""LLMs necessitate continual task-specific adaptation without catastrophic forgetting."" and ""traditional replay-based methods do not fully utilize instructions to customize the replay strategy.""",2024
An Examination of the Compositionality of Large Generative Vision-Language Models,Yes.,4.,"""We identify the syntactical bias in current benchmarks, which is exploited by the linguistic capability of GVLMs. The bias renders VisualGPTScore an insufficient metric for assessing GVLMs.""",2024
Two Heads are Better than One: Nested PoE for Robust Defense Against Multi-Backdoors,Yes.,3.,"""Data poisoning backdoor attacks can cause undesirable behaviors in large language models (LLMs), and defending against them is of increasing importance.""",2024
VertAttack: Taking Advantage of Text Classifiers’ Horizontal Vision,,,,2024
BeLLM: Backward Dependency Enhanced Large Language Model for Sentence Embeddings,Yes.,3.,"""Existing LLMs mainly adopted autoregressive architecture without explicit backward dependency modeling.""",2024
Assessing Factual Reliability of Large Language Model Knowledge,Yes.,5.,"""The factual knowledge of LLMs is typically evaluated using accuracy, yet this metric does not capture the vulnerability of LLMs to hallucination-inducing factors like prompt and context variability.""",2024
Toolink: Linking Toolkit Creation and Using through Chain-of-Solving on Open-Source Model,Yes.,3.,"""Large Language Models (LLMs) have demonstrated remarkable progress in utilizing tools, but their closed-source nature and high inference costs pose limitations on their adaptability, necessitating a valid method that leverages smaller, open-sourced models.""",2024
Neurocache: Efficient Vector Retrieval for Long-range Language Modeling,Yes.,1.,"""This paper introduces Neurocache, an approach to extend the effective context size of large language models (LLMs) using an external vector cache to store its past states.""",2024
Unveiling the Generalization Power of Fine-Tuned Large Language Models,,,,2024
A Closer Look at the Self-Verification Abilities of Large Language Models in Logical Reasoning,Yes.,5.,"""Despite significant advancements made by large language models (LLMs), they still struggle with complex logical reasoning problems."" and ""Our main findings suggest that existing LLMs could struggle to identify fallacious reasoning steps accurately and may fall short of guaranteeing the validity of self-verification methods",2024
Exploring Self-supervised Logic-enhanced Training for Large Language Models,Yes.,3.,"""Yet, our experiments reveal a gap in their performance on logical reasoning benchmarks when compared to state-of-the-art fine-tuning based models.""",2024
MATHSENSEI: A Tool-Augmented Large Language Model for Mathematical Reasoning,Yes.,3.,"""We further observe that TALMs are not as effective for simpler math word problems (in GSM-8K), and the benefit increases as the complexity and required knowledge increases (progressively over AQuA, MMLU-Math, and higher level complex questions in MATH).""",2024
On Large Language Models’ Hallucination with Regard to Known Facts,Yes.,5.,"""Large language models are successful in answering factoid questions but are also prone to hallucination."" and ""We investigate the phenomenon of LLMs possessing correct answer knowledge yet still hallucinating from the perspective of inference dynamics.""",2024
"Language Models Hallucinate, but May Excel at Fact Verification",Yes.,5.,"""LLMs frequently “hallucinate,” resulting in non-factual outputs,"" and ""analyze the reliance of these LLMs on high-quality evidence, as well as their deficiencies in robustness and generalization ability.""",2024
