Title,Talks about LLMs,Rate,Evidence
Knowledge-Centric Templatic Views of Documents,Yes.,1.,"""we consider each of these documents to be templatic views of the same underlying knowledge, and we aim to unify the generation and evaluation of these templatic views of documents. We begin by introducing an LLM-powered method to extract the most important information from an input document and represent this information in a structured format."""
Improved Zero-Shot Classification by Adapting VLMs with Text Descriptions,Yes.,2.,"""The zero-shot performance of existing vision-language models (VLMs) such as CLIP is limited by the availability of large-scale, aligned image and text datasets in specific domains."""
Medusa: Simple LLM Inference Acceleration Framework with Multiple Decoding Heads,Yes.,1.,"""The inference process in Large Language Models (LLMs) is often limited due to the absence of parallelism in the auto-regressive decoding process, resulting in most operations being restricted by the memory bandwidth of accelerators."""
A Study on Large Language Models' Limitations in Multiple-Choice Question Answering,Yes.,5.,"""Despite their ubiquitous use, there is no systematic analysis of their specific capabilities and limitations."" and ""We analyze 26 small open-source models and find that 65% of the models do not understand the task, only 4 models properly select an answer from the given choices, and only 5 of these models are choice order independent."""
TREC iKAT 2023: The Interactive Knowledge Assistance Track Overview,Yes.,1.,"""Most of the runs leveraged Large Language Models (LLMs) in their pipelines, with a few focusing on a generate-then-retrieve approach."""
Baichuan2-Sum: Instruction Finetune Baichuan2-7B Model for Dialogue Summarization,Yes.,1.,"""Large language models (LLMs) like Llama, Baichuan and Bloom models show remarkable ability with instruction fine-tuning in many natural language tasks."""
Fast and Optimal Weight Update for Pruned Large Language Models,Yes.,1.,"""Pruning large language models (LLMs) is a challenging task due to their enormous size."""
CheX-GPT: Harnessing Large Language Models for Enhanced Chest X-ray Report Labeling,Yes.,1.,"""Traditional rule-based labeling methods fall short of capturing the nuances of diverse free-text patterns. Moreover, models using expert-annotated data are limited by data scarcity and pre-defined classes, impacting their performance, flexibility and scalability."""
A Survey of Resource-efficient LLM and Multimodal Foundation Models,Yes.,3.,"""the substantial advancements in versatility and performance these models offer come at a significant cost in terms of hardware resources."""
E-EVAL: A Comprehensive Chinese K-12 Education Evaluation Benchmark for Large Language Models,Yes.,3.,"""almost all models perform poorly in complex subjects such as mathematics"" and ""most Chinese-dominant LLMs did not achieve higher scores at the primary school level compared to the middle school level"" and ""the mastery of higher-order knowledge by the model does not necessarily imply the mastery of lower-order knowledge as well."""
Monte Carlo Tree Search for Recipe Generation using GPT-2,Yes.,3.,"""Existing research on using LLMs to generate recipes has shown that LLMs can be finetuned to generate realistic-sounding recipes. However, on close examination, these generated recipes often fail to meet basic requirements like including chicken as an ingredient in chicken dishes."""
The Dawn After the Dark: An Empirical Study on Factuality Hallucination in Large Language Models,Yes.,5.,"""hallucination (i.e., the tendency to generate factually incorrect content) poses great challenge to trustworthy and reliable deployment of LLMs in real-world applications"" and ""To tackle the LLM hallucination, three key questions should be well studied"
The Impact of Reasoning Step Length on Large Language Models,Yes.,3.,"""However, the correlation between the effectiveness of CoT and the length of reasoning steps in prompts remains largely unknown."""
