Title,Talks about LLMs,Rate,Evidence,Published
NoMAD-Attention: Efficient LLM Inference on CPUs Through Multiply-add-free Attention,Yes.,2.,"""Large language model inference on Central Processing Units (CPU) is challenging due to the vast quantities of expensive Multiply-Add (MAD) matrix operations in the attention computations.""",2024-03-02T17:29:22Z
Dissecting Language Models: Machine Unlearning via Selective Pruning,Yes.,1.,"""This paper introduces a machine unlearning method specifically designed for LLMs.""",2024-03-02T17:10:44Z
AutoDefense: Multi-Agent LLM Defense against Jailbreak Attacks,Yes.,3.,"""Despite extensive pre-training and fine-tuning in moral alignment to prevent generating harmful information at user request, large language models (LLMs) remain vulnerable to jailbreak attacks.""",2024-03-02T16:52:22Z
Accelerating Greedy Coordinate Gradient via Probe Sampling,Yes.,3.,"""Safety of Large Language Models (LLMs) has become a central issue given their rapid progress and wide applications."" and ""Greedy Coordinate Gradient (GCG) is shown to be effective in constructing prompts containing adversarial suffixes to break the presumingly safe LLMs, but the optimization of GCG is time-consuming",2024-03-02T16:23:44Z
SceneCraft: An LLM Agent for Synthesizing 3D Scene as Blender Code,Yes.,1.,"""This paper introduces SceneCraft, a Large Language Model (LLM) Agent converting text descriptions into Blender-executable Python scripts which render complex scenes with up to a hundred 3D assets.""",2024-03-02T16:16:26Z
Mitigating Catastrophic Forgetting in Large Language Models with Self-Synthesized Rehearsal,Yes.,5.,"""Large language models (LLMs) suffer from catastrophic forgetting during continual learning.""",2024-03-02T16:11:23Z
IntactKV: Improving Large Language Model Quantization by Keeping Pivot Tokens Intact,Yes.,3.,"""Large language models (LLMs) excel in natural language processing but demand intensive computation. To mitigate this, various quantization methods have been explored, yet they compromise LLM performance.""",2024-03-02T16:05:26Z
API Is Enough: Conformal Prediction for Large Language Models Without Logit-Access,Yes.,3.,"""This study aims to address the pervasive challenge of quantifying uncertainty in large language models (LLMs) without logit-access."" and ""However, existing CP methods for LLMs typically assume access to the logits, which are unavailable for some API-only LLMs. In addition, logits are known to be miscalibrated, potentially leading to degraded CP performance.""",2024-03-02T14:14:45Z
Data-free Multi-label Image Recognition via LLM-powered Prompt Tuning,Yes.,1.,"""This paper proposes a novel framework for multi-label image recognition without any training data, called data-free framework, which uses knowledge of pre-trained Large Language Model (LLM) to learn prompts to adapt pretrained Vision-Language Model (VLM) like CLIP to multilabel classification.""",2024-03-02T13:43:32Z
The Case for Animal-Friendly AI,Yes.,2.,"""Preliminary results suggest that the outcomes of the tested models can be benchmarked regarding the consideration they give to animals, and that generated positions and biases might be addressed and mitigated with more developed and validated systems.""",2024-03-02T12:41:11Z
DMoERM: Recipes of Mixture-of-Experts for Effective Reward Modeling,Yes.,2.,"""There remain two challenges in RM training",2024-03-02T12:31:22Z
RAGged Edges: The Double-Edged Sword of Retrieval-Augmented Chatbots,Yes.,5.,"""However, their tendency to hallucinate -- generate plausible but false information -- poses a significant challenge."" and ""These findings highlight the complex nature of hallucinations and the need for more robust solutions to ensure LLM reliability in real-world applications.""",2024-03-02T12:19:04Z
Balancing Exploration and Exploitation in LLM using Soft RLLF for Enhanced Negation Understanding,Yes.,3.,"""Finetuning approaches in NLP often focus on exploitation rather than exploration, which may lead to suboptimal models. Given the vast search space of natural language, this limited exploration can restrict their performance in complex, high-stakes domains, where accurate negation understanding and logical reasoning abilities are crucial.""",2024-03-02T11:54:55Z
STAR: Constraint LoRA with Dynamic Active Learning for Data-Efficient Fine-Tuning of Large Language Models,,,,2024-03-02T10:38:10Z
"A Survey of AI-generated Text Forensic Systems: Detection, Attribution, and Characterization",Yes.,4.,"""While these LLMs have revolutionized text generation across various domains, they also pose significant risks to the information ecosystem, such as the potential for generating convincing propaganda, misinformation, and disinformation at scale.""",2024-03-02T09:39:13Z
MuseGraph: Graph-oriented Instruction Tuning of Large Language Models for Generic Graph Mining,Yes.,1.,"""Although the emergence of Large Language Models (LLMs) has introduced a new paradigm in natural language processing, the generative potential of LLMs in graph mining remains largely under-explored.""",2024-03-02T09:27:32Z
ParallelPARC: A Scalable Pipeline for Generating Natural-Language Analogies,Yes.,3.,"""We test LLMs' and humans' analogy recognition in binary and multiple-choice settings, and found that humans outperform the best models (~13% gap) after a light supervision. ... Lastly, we show challenging distractors confuse LLMs, but not humans.""",2024-03-02T08:53:40Z
LLM-PQ: Serving LLM on Heterogeneous Clusters with Phase-Aware Partition and Adaptive Quantization,Yes.,3.,"""The immense sizes of LLMs have led to very high resource demand and cost for running the models.""",2024-03-02T08:40:07Z
Evaluating Large Language Models as Virtual Annotators for Time-series Physical Sensing Data,Yes.,3.,"""In the first phase, we investigate the challenges an LLM like GPT-4 faces in comprehending raw sensor data.""",2024-03-02T08:29:08Z
LLaMoCo: Instruction Tuning of Large Language Models for Optimization Code Generation,Yes.,3.,"""However, these approaches exhibit inherent limitations, including low operational efficiency, high sensitivity to prompt design, and a lack of domain-specific knowledge.""",2024-03-02T08:21:59Z
OpenGraph: Towards Open Graph Foundation Models,Yes.,2.,"""we introduce a data augmentation mechanism enhanced by a LLM to alleviate the limitations of data scarcity in real-world scenarios.""",2024-03-02T08:05:03Z
Towards Accurate Lip-to-Speech Synthesis in-the-Wild,No.,1.,The abstract does not mention LLMs or their limitations.,2024-03-02T04:07:24Z
LAB: Large-Scale Alignment for ChatBots,,,,2024-03-02T03:48:37Z
LLMCRIT: Teaching Large Language Models to Use Criteria,Yes.,2.,"""However, existing research in this field tends to consider only a limited set of criteria or quality assessment aspects.""",2024-03-02T02:25:55Z
FaiMA: Feature-aware In-context Learning for Multi-domain Aspect-based Sentiment Analysis,Yes.,3.,"""it is difficult to integrate effectively with established techniques, including graph-based models and linguistics, because modifying their internal architecture is not easy.""",2024-03-02T02:00:51Z
Reading Subtext: Evaluating Large Language Models on Short Story Summarization with Writers,Yes.,5.,"""We find that all three models make faithfulness mistakes in over 50% of summaries and struggle to interpret difficult subtext.""",2024-03-02T01:52:14Z
Towards Full Authorship with AI: Supporting Revision with AI-Generated Views,Yes.,3.,"""This paradigm shifts some creative control from the user to the system, thereby diminishing the user's authorship and autonomy in the writing process."" and ""However, the study also showed interaction design challenges related to document navigation and scoping, prompt engineering, and context management.""",2024-03-02T01:11:35Z
AutoAttacker: A Large Language Model Guided System to Implement Automatic Cyber-attacks,Yes.,2.,"""However, so far there lacks a comprehensive study regarding whether LLM-based systems can be leveraged to simulate the post-breach stage of attacks that are typically human-operated, or 'hands-on-keyboard' attacks, under various attack techniques and environments.""",2024-03-02T00:10:45Z
Peacock: A Family of Arabic Multimodal Large Language Models and Benchmarks,Yes.,2.,"""However, due to a lack of high-quality multimodal resources in languages other than English, success of MLLMs remains relatively limited to English-based settings. This poses significant challenges in developing comparable models for other languages, including even those with large speaker populations such as Arabic.""",2024-03-01T23:38:02Z
Attribute Structuring Improves LLM-Based Evaluation of Clinical Text Summaries,Yes.,4.,"""Large language models (LLMs) have shown the potential to generate accurate clinical text summaries, but still struggle with issues regarding grounding and evaluation, especially in safety-critical domains such as health.""",2024-03-01T21:59:03Z
Predictions from language models for multiple-choice tasks are not robust under variation of scoring methods,Yes.,5.,"""we find that LLM predictions are not robust under variation of method choice, both within a single LLM and across different LLMs.""",2024-03-01T21:48:08Z
MALTO at SemEval-2024 Task 6: Leveraging Synthetic Data for LLM Hallucination Detection,Yes.,5.,"""contemporary Large Language Models (LLMs) face several challenges, such as generating fluent yet inaccurate outputs and reliance on fluency-centric metrics. This often leads to neural networks exhibiting 'hallucinations'.""",2024-03-01T20:31:10Z
ATP: Enabling Fast LLM Serving via Attention on Top Principal Keys,Yes.,1.,"""Our evaluations on various models (e.g., BERT and Llama) demonstrate that ATP achieves comparable accuracy with much lower computation and memory complexity than the standard attention mechanism.""",2024-03-01T19:24:37Z
Differentially Private Knowledge Distillation via Synthetic Text Generation,Yes.,3.,"""Differential privacy and model compression generally must trade off utility loss to achieve their objectives. Moreover, concurrently achieving both can result in even more utility loss.""",2024-03-01T19:22:24Z
An Interpretable Ensemble of Graph and Language Models for Improving Search Relevance in E-Commerce,Yes.,3.,"""Evaluating the generalizability of these models for deployment requires extensive experimentation on complex, real-world datasets, which can be non-trivial and expensive. Furthermore, such models often operate on latent space representations that are incomprehensible to humans, making it difficult to evaluate and compare",2024-03-01T19:08:25Z
Mitigating Reversal Curse in Large Language Models via Semantic-aware Permutation Training,Yes.,5.,"""recent studies showcase that causal LLMs suffer from the 'reversal curse'. It is a typical example that the model knows 'A's father is B', but is unable to reason 'B's child is A'. This limitation poses a challenge to the advancement of artificial general intelligence (AGI), as it suggests a gap in the models' ability to comprehend and apply bidirectional",2024-03-01T18:55:20Z
AtP*: An efficient and scalable method for localizing LLM behaviour to components,Yes.,3.,"""We investigate Attribution Patching (AtP), a fast gradient-based approximation to Activation Patching and find two classes of failure modes of AtP which lead to significant false negatives.""",2024-03-01T18:43:51Z
Playing NetHack with LLMs: Potential & Limitations as Zero-Shot Agents,Yes.,5.,"""However, these agents are primarily evaluated on Minecraft, where long-term planning is relatively straightforward. In contrast, agents tested in dynamic robot environments face limitations due to simplistic environments with only a few objects and interactions."" and ""While NetPlay demonstrates considerable flexibility and proficiency in interacting with NetHack's mechanics, it struggles with ambiguous task descriptions and a lack of explicit feedback.""",2024-03-01T17:22:16Z
DiaHalu: A Dialogue-level Hallucination Evaluation Benchmark for Large Language Models,Yes.,4.,"""Since large language models (LLMs) achieve significant success in recent years, the hallucination issue remains a challenge,"" and ""many merely focus on the factuality hallucination while ignoring the faithfulness hallucination.""",2024-03-01T15:38:55Z
Large Language Models for Simultaneous Named Entity Extraction and Spelling Correction,Yes.,1.,"""A BERT LM is typically used as a classifier to classify individual tokens in the input text, or to classify spans of tokens, as belonging to one of a set of possible NE categories."" and ""We fine-tune two BERT LMs as baselines, as well as eight open-source",2024-03-01T13:36:04Z
"ROME: Memorization Insights from Text, Probability and Hidden State in Large Language Models",,,,2024-03-01T13:15:30Z
Do Zombies Understand? A Choose-Your-Own-Adventure Exploration of Machine Cognition,Yes.,1.,"""Recent advances in LLMs have sparked a debate on whether they understand text.""",2024-03-01T12:42:47Z
TempCompass: Do Video LLMs Really Understand Videos?,Yes.,5.,"""reveal the discerning fact that these models exhibit notably poor temporal perception ability.""",2024-03-01T12:02:19Z
LUCID: LLM-Generated Utterances for Complex and Interesting Dialogues,Yes.,2.,"""Yet a major bottleneck to achieving genuinely transformative task-oriented dialogue capabilities remains the scarcity of high quality and linguistically sophisticated data.""",2024-03-01T11:33:53Z
Hierarchical Indexing for Retrieval-Augmented Opinion Summarization,Yes.,1.,"""We propose a method for unsupervised abstractive opinion summarization, that combines the attributability and scalability of extractive approaches with the coherence and fluency of Large Language Models (LLMs).""",2024-03-01T10:38:07Z
LLMs for Targeted Sentiment in News Headlines: Exploring Different Levels of Prompt Prescriptiveness,Yes.,3.,"""their performance is heavily influenced by prompt design"" and ""Recognizing the subjective nature of TSA, we evaluate the ability of LLMs to quantify predictive uncertainty via calibration error and correlation to human inter-annotator agreement.""",2024-03-01T10:10:34Z
Rethinking Tokenization: Crafting Better Tokenizers for Large Language Models,Yes.,3.,"""Despite subword tokenizers like Byte Pair Encoding (BPE) overcoming many word tokenizer limitations, they encounter difficulties in handling non-Latin languages and depend heavily on extensive training data and computational resources to grasp the nuances of multiword expressions (MWEs).""",2024-03-01T10:03:07Z
Text classification of column headers with a controlled vocabulary: leveraging LLMs for metadata enrichment,Yes.,1.,"""We propose a method to support metadata enrichment with topic annotations of column headers using three Large Language Models (LLMs)",2024-03-01T10:01:36Z
Private Benchmarking to Prevent Contamination and Improve Comparative Evaluation of LLMs,Yes.,5.,"""the majority of the open source benchmarks available today have been contaminated or leaked into LLMs, meaning that LLMs have access to test data during pretraining and/or fine-tuning. This raises serious concerns about the validity of benchmarking studies conducted so far and the future of evaluation using benchmarks.""",2024-03-01T09:28:38Z
Invariant Test-Time Adaptation for Vision-Language Model Generalization,Yes.,4.,"""However, these models display significant limitations when applied to long-tail tasks, such as fine-grained image classification, as a result of 'decision shortcuts' that hinders their generalization capabilities."" and ""the underperformance of CLIP on downstream tasks originates from its inability to effectively utilize pre-trained features in",2024-03-01T09:01:53Z
Crimson: Empowering Strategic Reasoning in Cybersecurity through Large Language Models,Yes.,1.,"""We further enhance LLMs' reasoning abilities through a novel Retrieval-Aware Training (RAT) process and its refined iteration, RAT-R.""",2024-03-01T08:43:43Z
Semi-Instruct: Bridging Natural-Instruct and Self-Instruct for Code Large Language Models,,,,2024-03-01T08:05:44Z
Never-Ending Embodied Robot Learning,Yes.,3.,"""However, most visual behavior-cloning agents suffer from manipulation performance degradation and skill knowledge forgetting when adapting into a series of challenging unseen tasks.""",2024-03-01T07:51:29Z
Teach LLMs to Phish: Stealing Private Information from Language Models,Yes.,5.,"""When large language models are trained on private data, it can be a significant privacy risk for them to memorize and regurgitate sensitive information.""",2024-03-01T06:15:07Z
DPP-Based Adversarial Prompt Searching for Lanugage Models,Yes.,4.,"""Language models risk generating mindless and offensive content, which hinders their safe deployment."" and ""Experimental results on six different pre-trained language models demonstrate the efficacy of ASRA for eliciting toxic content.""",2024-03-01T05:28:06Z
Gender Bias in Large Language Models across Multiple Languages,Yes.,5.,"""assessing the influence of gender biases embedded in LLMs becomes crucial"" and ""Our findings revealed significant gender biases across all the languages we examined.""",2024-03-01T04:47:16Z
SoftTiger: A Clinical Foundation Model for Healthcare Workflows,Yes.,3.,"""Moreover, we address several modeling challenges in the healthcare context, e.g., extra long context window.""",2024-03-01T04:39:16Z
Extracting Polymer Nanocomposite Samples from Full-Length Documents,Yes.,5.,"""Our findings show that even advanced LLMs struggle to extract all of the samples from an article. Finally, we analyze the errors encountered in this process, categorizing them into three main challenges, and discuss potential strategies for future research to overcome them.""",2024-03-01T03:51:56Z
Gradient Cuff: Detecting Jailbreak Attacks on Large Language Models by Exploring Refusal Loss Landscapes,Yes.,4.,"""recent studies have highlighted the vulnerability of LLMs to adversarial jailbreak attempts aiming at subverting the embedded safety guardrails.""",2024-03-01T03:29:54Z
Multimodal ArXiv: A Dataset for Improving Scientific Comprehension of Large Vision-Language Models,Yes.,5.,"""However, their ability to interpret abstract figures, such as geometry shapes and scientific plots, remains limited due to a scarcity of training datasets in scientific domains."" and ""Our error analysis uncovers misinterpretations of visual context, recognition errors, and the production of overly simplified captions by current LVLMs, shedding light on future improvements.""",2024-03-01T02:21:30Z
Improving Socratic Question Generation using Data Augmentation and Preference Optimization,Yes.,3.,"""existing methods that involve prompting these LLMs sometimes produce invalid outputs, e.g., those that directly reveal the solution to the problem or provide irrelevant or premature questions.""",2024-03-01T00:08:20Z
AXOLOTL: Fairness through Assisted Self-Debiasing of Large Language Model Outputs,Yes.,4.,"""Pre-trained Large Language Models (LLMs) have significantly advanced natural language processing capabilities but are susceptible to biases present in their training data, leading to unfair outcomes in various applications.""",2024-03-01T00:02:37Z
LLM-Ensemble: Optimal Large Language Model Ensemble Method for E-commerce Product Attribute Value Extraction,Yes.,2.,"""Nevertheless, varying strengths and weaknesses are exhibited by different LLMs due to the diversity in data, architectures, and hyperparameters.""",2024-02-29T23:03:19Z
TELEClass: Taxonomy Enrichment and LLM-Enhanced Hierarchical Text Classification with Minimal Supervision,Yes.,3.,"""Recently, large language models (LLM) show competitive performance on various tasks through zero-shot prompting, but this method performs poorly in the hierarchical setting, because it is ineffective to include the large and structured label space in a prompt.""",2024-02-29T22:26:07Z
LLMs in Political Science: Heralding a New Era of Visual Analysis,Yes.,1.,"""This landscape could potentially change thanks to the rise of large language models (LLMs).""",2024-02-29T22:11:20Z
UniTS: Building a Unified Time Series Model,Yes.,3.,"""current foundation models apply to sequence data but not to time series, which present unique challenges due to the inherent diverse and multidomain time series datasets, diverging task specifications across forecasting, classification and other types of tasks, and the apparent need for task-specialized models.""",2024-02-29T21:25:58Z
FAC$^2$E: Better Understanding Large Language Model Capabilities by Dissociating Language and Cognition,Yes.,5.,"""such a paradigm fails to comprehensively differentiate the fine-grained language and cognitive skills, rendering the lack of sufficient interpretation to LLMs' capabilities"" and ""we identify a common shortfall in knowledge utilization among models.""",2024-02-29T21:05:37Z
