Title,Talks about LLMs,Rate,Evidence,Published
GitHub Copilot AI pair programmer: Asset or Liability?,No.,1.,"The abstract discusses GitHub Copilot, an AI pair programmer, but does not mention LLMs or their limitations.",2022-06-30T15:00:03Z
Compressing Pre-trained Transformers via Low-Bit NxM Sparsity for Natural Language Understanding,Yes.,3.,"""the huge size of these models brings significant challenges to their fine-tuning and online deployment due to latency and cost constraints.""",2022-06-30T04:33:50Z
Solving Quantitative Reasoning Problems with Language Models,Yes.,3.,"""state-of-the-art models have generally struggled with tasks that require quantitative reasoning, such as solving mathematics, science, and engineering problems at the college level.""",2022-06-29T18:54:49Z
Knowledge Distillation of Transformer-based Language Models Revisited,Yes.,5.,"""However, the large model size and high run-time latency are serious impediments to applying them in practice, especially on mobile phones and Internet of Things (IoT) devices.""",2022-06-29T02:16:56Z
Bottleneck Low-rank Transformers for Low-resource Spoken Language Understanding,Yes.,3.,"""The resulting models are too large for on-edge applications. For instance, BERT-based systems contain over 110M parameters.""",2022-06-28T23:08:32Z
CC-Riddle: A Question Answering Dataset of Chinese Character Riddles,Yes.,5.,"""The test results reveal that current language models still struggle to solve Chinese character riddles.""",2022-06-28T06:23:13Z
Flexible text generation for counterfactual fairness probing,Yes.,1.,"""We show that this LLM-based method can produce complex counterfactuals that existing methods cannot, comparing the performance of various counterfactual generation methods on the Civil Comments dataset and showing their value in evaluating a toxicity classifier.""",2022-06-28T05:07:20Z
NERDA-Con: Extending NER models for Continual Learning -- Integrating Distinct Tasks and Updating Distribution Shifts,Yes.,3.,"""Re-training NERs based on Large Language Models (LLMs) from scratch over newly acquired data poses economic disadvantages. In contrast, re-training only with newly acquired data will result in Catastrophic Forgetting of previously acquired knowledge.""",2022-06-28T03:22:55Z
A Disability Lens towards Biases in GPT-3 Generated Open-Ended Languages,Yes.,4.,"""concerns remain whether open-ended languages or text generated from these models reveal any biases toward a specific group of people, thereby risking the usability of a certain product.""",2022-06-23T21:57:08Z
BERT Rankers are Brittle: a Study using Adversarial Document Perturbations,Yes.,5.,"""we argue that BERT-rankers are not immune to adversarial attacks targeting retrieved documents given a query,"" and ""we find that BERT-rankers heavily rely on the document start/head for relevance prediction, making the initial part of the document more susceptible to adversarial attacks.""",2022-06-23T14:16:48Z
Towards WinoQueer: Developing a Benchmark for Anti-Queer Bias in Large Language Models,Yes.,4.,"""This paper presents exploratory work on whether and to what extent biases against queer and trans people are encoded in large language models (LLMs) such as BERT."" and ""We found that BERT shows significant homophobic bias.""",2022-06-23T05:30:47Z
Multi-LexSum: Real-World Summaries of Civil Rights Lawsuits at Multiple Granularities,Yes.,3.,"""We present extensive analysis demonstrating that despite the high-quality summaries in the training data (adhering to strict content and style guidelines), state-of-the-art summarization models perform poorly on this task.""",2022-06-22T07:26:55Z
Don't Forget About Pronouns: Removing Gender Bias in Language Models Without Losing Factual Gender Information,Yes.,4.,"""We aim to diminish the stereotypical bias in the representations while preserving the factual gender signal."" and ""Our filtering method shows that it is possible to decrease the bias of gender-neutral profession names without significant deterioration of language modeling capabilities.""",2022-06-21T21:38:25Z
Using cognitive psychology to understand GPT-3,Yes.,5.,"""Yet we also find that small perturbations to vignette-based tasks can lead GPT-3 vastly astray, that it shows no signatures of directed exploration, and that it fails miserably in a causal reasoning task.""",2022-06-21T20:06:03Z
