Title,Talks about LLMs,Rate,Evidence,Published
Cheap and Quick: Efficient Vision-Language Instruction Tuning for Large Language Models,Yes.,3.,"""existing solutions are prohibitively expensive, which not only need to optimize excessive parameters, but also require another large-scale pre-training before VL instruction tuning.""",2023-05-24T11:06:15Z
Calc-X and Calcformers: Empowering Arithmetical Chain-of-Thought through Interaction with Symbolic Systems,Yes.,5.,"""Despite outstanding performance in many tasks, language models are notoriously inclined to make factual errors in tasks requiring arithmetic computation.""",2023-05-24T10:58:20Z
Estimating Class Separability of Datasets Using Persistent Homology with Application to LLM Fine-Tuning,Yes.,1.,"""Finally, we empirically show that the proposed method can be part of a stopping criterion for fine-tuning language-model classifiers.""",2023-05-24T10:58:09Z
Unlocking Temporal Question Answering for Large Language Models Using Code Execution,Yes.,3.,"""However, we notice the challenge that LLMs face when it comes to temporal reasoning.""",2023-05-24T10:57:53Z
Are Chatbots Ready for Privacy-Sensitive Applications? An Investigation into Input Regurgitation and Prompt-Induced Sanitization,,,,2023-05-24T10:48:05Z
Sentiment Analysis in the Era of Large Language Models: A Reality Check,,,,2023-05-24T10:45:25Z
LLMDet: A Third Party Large Language Models Generated Text Detection Tool,Yes.,3.,"""Generated texts from large language models (LLMs) are remarkably close to high-quality human-authored text, raising concerns about their potential misuse in spreading false information and academic misconduct.""",2023-05-24T10:45:16Z
A RelEntLess Benchmark for Modelling Graded Relations between Named Entities,Yes.,3.,"""Overall, we find a strong correlation between model size and performance, with smaller Language Models struggling to outperform a naive baseline.""",2023-05-24T10:41:24Z
Enabling and Analyzing How to Efficiently Extract Information from Hybrid Long Documents with LLMs,Yes.,3.,"""However, their ability to comprehend and analyze hybrid text, containing textual and tabular data, remains underexplored.""",2023-05-24T10:35:58Z
"RefGPT: Dialogue Generation of GPT, by GPT, and for GPT",Yes.,5.,"""they all suffer from generating untruthful dialogues because of the model hallucination.""",2023-05-24T10:30:42Z
Controlling Pre-trained Language Models for Grade-Specific Text Simplification,Yes.,1.,"""Recent work has shown that pre-trained language models can simplify text using a wealth of techniques to control output simplicity.""",2023-05-24T10:29:45Z
Reasoning with Language Model is Planning with World Model,Yes.,5.,"""However, LLMs can still struggle with problems that are easy for humans, such as generating action plans for executing tasks in a given environment, or performing complex math, logical, and commonsense reasoning. The deficiency stems from the key fact that LLMs lack an internal $\textit{world model}$ to predict the world $\textit{state}$ (e.g.,",2023-05-24T10:28:28Z
Investigating Table-to-Text Generation Capabilities of LLMs in Real-World Information Seeking Scenarios,Yes.,3.,"""However, the adoption of LLMs in real-world applications for table information seeking remains underexplored."" and ""a significant performance gap still exists between other open-sourced LLMs (e.g., Tulu and LLaMA-2) and GPT-4 models.""",2023-05-24T10:22:30Z
IdealGPT: Iteratively Decomposing Vision and Language Reasoning via Large Language Models,Yes.,3.,"""However, they still fall short in zero-shot reasoning tasks that require multi-step inferencing."" and ""we argue that previous efforts have several inherent shortcomings",2023-05-24T10:19:57Z
GPTAraEval: A Comprehensive Evaluation of ChatGPT on Arabic NLP,Yes.,5.,"""Our findings indicate that, despite its remarkable performance in English, ChatGPT is consistently surpassed by smaller models that have undergone finetuning on Arabic."" and ""unveiling the relative shortcomings of both models in handling Arabic dialects compared to MSA."" and ""our work adds to a growing body of",2023-05-24T10:12:39Z
Just Ask for Calibration: Strategies for Eliciting Calibrated Confidence Scores from Language Models Fine-Tuned with Human Feedback,Yes.,4.,"""some studies have suggested that RLHF-LMs produce conditional probabilities that are very poorly calibrated.""",2023-05-24T10:12:33Z
OverPrompt: Enhancing ChatGPT through Efficient In-Context Learning,Yes.,3.,"""However, the prohibitive costs of tokens and time have hindered their adoption in applications.""",2023-05-24T10:08:04Z
"Tricking LLMs into Disobedience: Formalizing, Analyzing, and Detecting Jailbreaks",Yes.,5.,"""non-expert users can jailbreak LLMs by simply manipulating their prompts; resulting in degenerate output behavior, privacy and security breaches, offensive outputs, and violations of content regulator policies.""",2023-05-24T09:57:37Z
Editing Common Sense in Transformers,Yes.,3.,"""However, these editing methods have only been evaluated on statements about encyclopedic knowledge with a single correct answer. Commonsense knowledge with multiple correct answers, e.g., an apple can be green or red but not transparent, has not been studied but is as essential for enhancing transformers' reliability and usefulness.""",2023-05-24T09:50:54Z
Adversarial Demonstration Attacks on Large Language Models,Yes.,5.,"""We hope that our study reveals the critical security risks associated with ICL and underscores the need for extensive research on the robustness of ICL, particularly given its increasing significance in the advancement of LLMs.""",2023-05-24T09:40:56Z
How Predictable Are Large Language Model Capabilities? A Case Study on BIG-bench,Yes.,1.,"""We investigate the predictability of large language model (LLM) capabilities",2023-05-24T09:35:34Z
Do LLMs Understand Social Knowledge? Evaluating the Sociability of Large Language Models with SocKET Benchmark,Yes.,4.,"""we demonstrate that current models attain only moderate performance but reveal significant potential for task transfer among different types and categories of tasks,"" and ""pretrained models already possess some innate but limited capabilities of social language understanding.""",2023-05-24T09:21:06Z
GRACE: Discriminator-Guided Chain-of-Thought Reasoning,Yes.,3.,"""In the context of multi-step reasoning, e.g., with chain-of-thought, language models (LMs) can easily assign a high likelihood to incorrect steps.""",2023-05-24T09:16:51Z
