Title,Talks about LLMs,Rate,Evidence,Published
Model Tells You What to Discard: Adaptive KV Cache Compression for LLMs,Yes.,1.,"""In this study, we introduce adaptive KV cache compression, a plug-and-play method that reduces the memory footprint of generative inference for Large Language Models (LLMs).""",2023-10-03T05:17:08Z
Large Language Models Cannot Self-Correct Reasoning Yet,Yes.,5.,"""our research indicates that LLMs struggle to self-correct their responses without external feedback, and at times, their performance even degrades after self-correction.""",2023-10-03T04:56:12Z
HallE-Control: Controlling Object Hallucination in Large Multimodal Models,Yes.,5.,"""Interestingly, while LMMs demonstrate minimal object existence hallucination in existing VQA benchmarks, our proposed evaluation reveals continued susceptibility to such hallucinations."" and ""Our findings underscore the unwarranted inference when the language description includes details at a finer object granularity than what the vision module can",2023-10-03T04:01:27Z
Time-LLM: Time Series Forecasting by Reprogramming Large Language Models,Yes.,3.,"""the challenge remains in effectively aligning the modalities of time series data and natural language to leverage these capabilities.""",2023-10-03T01:31:25Z
Can GPT-4 Replicate Empirical Software Engineering Research?,Yes.,4.,"""We find that GPT-4 is able to surface correct assumptions, but struggle to generate ones that reflect common knowledge about software engineering data. In a manual analysis of the generated code, we find that the GPT-4-generated code contains the correct high-level logic, given a subset of the methodology. However, the code contains many small implementation-level errors, reflecting a lack of software engineering",2023-10-03T01:27:23Z
Large Language Models for Test-Free Fault Localization,Yes.,1.,"""Inspired by the ability of large language models (LLMs) of code to adapt to new tasks based on very few examples, we investigate the applicability of LLMs to line level fault localization.""",2023-10-03T01:26:39Z
Deciphering Diagnoses: How Large Language Models Explanations Influence Clinical Decision Making,Yes.,3.,"""highlighted potential errors in LLM outputs, ranging from 5% to 30%.""",2023-10-03T00:08:23Z
PolySketchFormer: Fast Transformers via Sketching Polynomial Kernels,Yes.,5.,"""The quadratic time and memory complexity inherent to self-attention mechanisms, with respect to sequence length, presents a critical computational bottleneck in the training and deployment of large-scale Transformer-based language models.""",2023-10-02T21:39:04Z
VAL: Interactive Task Learning with GPT Dialog Parsing,Yes.,3.,"""Large language models (LLMs) are resistant to brittleness but are not interpretable and cannot learn incrementally.""",2023-10-02T20:45:41Z
On the Safety of Open-Sourced Large Language Models: Does Alignment Really Prevent Them From Being Misused?,Yes.,5.,"""many existing studies have shown that they could be misused to generate undesired content"" and ""we show those open-sourced, aligned large language models could be easily misguided to generate undesired content without heavy computations or careful prompt designs.""",2023-10-02T19:22:01Z
