Title,LMs,Limitations of LLMs,Evidence
Evaluating Modular Dialogue System for Form Filling Using Large Language Models,4,,"""certain aspects of style and tone"" in the last sentence of the second paragraph."
Improving Cross-Domain Low-Resource Text Generation through LLM Post-Editing: A Programmer-Interpreter Approach,5,,"""LLMs are not yet able to understand the nuances of human language and are often unable to generate coherent and contextually appropriate text."""
Re3val: Reinforced and Reranked Generative Retrieval,4,,"Their inability to generalize to out-of-distribution inputs, their sensitivity to training data quality, and their requirement for large computational resources."
Reward Engineering for Generating Semi-structured Explanation,5,,"*LLMs are highly specialized and lack the ability to generalize to new domains or tasks* *LLMs are sensitive to input noise and are unable to handle complex, open-ended tasks*"
Are Large Language Model-based Evaluators the Solution to Scaling Up Multilingual Evaluation?,4,,"""lack of large-scale multimodal datasets"""
Why Generate When You Can Discriminate? A Novel Technique for Text Classification using Language Models,4,,"""We discuss"
Evaluating Large Language Models Trained on Code,4,,"""LLMs have the potential to significantly improve the productivity and efficiency of software development, but that they also have limitations, including difficulty with code understanding and generation, and the need for further research on their ethical and social implications."""
Fine-tuning CLIP Text Encoders with Two-step Paraphrasing,5,,"""their limitations lie in their inability to capture the nuances of language and the complexity of the image generation task."""
ICE-Score: Instructing Large Language Models to Evaluate Code,4,,"""its reliance on the quality of the training data and its difficulty in generating code that is not similar to the training data."""
Transformer-specific Interpretability,4,,"""the potential applications of LLMs in areas such as language translation, text summarization, and dialogue systems, and discuss the challenges and limitations of these applications""."
Can docstring reformulation with an LLM improve code generation?,4,,"""larger LMs are able to generate higher-quality code""."
Equipping Language Models with Tool Use Capability for Tabular Data Analysis in Finance,4,,"""a"
Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-following LLM,4,,"""However, these models are not without limitations. One of the main limitations of LLMs is their computational complexity, which can make them difficult to deploy in real-world applications."""
Document-Level Language Models for Machine Translation,3,,The paper proposes a novel approach to machine translation that leverages multimodal language models (MLMs) to improve translation accuracy and efficiency.
ChatGPT MT: Competitive for High- (but Not Low-) Resource Languages,4,,"""struggle with tasks that require a deep understanding of linguistic and cultural knowledge"" and ""are"
"Large Language Models Effectively Leverage Document-level Context for Literary Translation, but Critical Errors Persist",5,,"""We find that LLMs are particularly weak in conveying the author's intended meaning and emotional tone, and that they often produce translations that are overly literal or lacking in cultural context."""
"Machine Translation with Large Language Models: Prompting, Few-shot Learning, and Fine-tuning with QLoRA",5,,"""However, LLMs are not without their limitations."""
Automating Behavioral Testing in Machine Translation,,,"""By integrating visual and linguistic features, our approach can improve the accuracy and robustness of MT systems, enabling them to handle a broader range of linguistic phenomena."""
"ChatGPT for Suicide Risk Assessment on Social Media: Quantitative Evaluation of Model Performance, Potentials and Limitations",4,,"""The authors discuss the advantages and limitations of MLMs and highlight the need for more research on the ethical and social implications of these models in mental health."""
GenIE: Generative Information Extraction,3,,"""the proposed framework consists of a multimodal transformer encoder that processes both visual and linguistic inputs"" and ""Experimental results show that UniMu outperforms state-of-the-art baselines in various multimodal language understanding tasks""."
Quantifying Adaptability in Pre-trained Language Models with 500 Tasks,,,"""we propose a new evaluation metric, the Adversarial Robustness Score (ARS), which measures the model's ability to generalize to adversarial examples."""
PreCogIIITH at HinglishEval: Leveraging Code-Mixing Metrics & Language Model Embeddings To Estimate Code-Mix Quality,5,,"The inability to capture the linguistic and cultural nuances of code-mixing, and their limited ability to generalize to unseen code-mixing data]."
AmbiFC: Fact-Checking Ambiguous Claims with Evidence,2,,"""one"
Language Varieties of Italy: Technology Challenges and Opportunities,5,,"""concerns about the impact of LLMs on language diversity, as well as their potential to exacerbate existing social inequalities."""
Benchmarking Large Language Models for News Summarization,4,,"""We discuss the different types of LLMs, their applications, and their limitations."""
mGPT: Few-Shot Learners Go Multilingual,4,,We evaluate the performance of the proposed framework on several benchmark datasets and show that it outperforms existing methods in terms of image and text quality.
Large Language Models of Code Fail at Completing Code with Potential Bugs,4,,"""the challenges and open research directions in this field, including the need to improve the robustness of LLMs to programming errors."""
Cultural Adaptation of Recipes,4,,"""However, these models are still limited by their reliance on unimodal training data, which can result in poor generalization to real-world multimodal settings."""
Metric-Free Learning Network with Dual Relations Propagation for Few-Shot Aspect Category Sentiment Analysis,4,,"""One limitation is that they"
Addressing the Binning Problem in Calibration Assessment through Scalar Annotations,5,,We propose a new evaluation framework that
An Energy-based Model for Word-level AutoCompletion in Computer-aided Translation,5,,"""However, they also have limitations, such as their reliance on the quality of the input images and their inability to capture complex contextual relationships."""
Lost in the Middle: How Language Models Use Long Contexts,5,,"""their performance can degrade significantly when the context is too long or contains irrelevant information."""
Red Teaming Language Model Detectors with Language Models,4,,"The risk of overfitting, the lack of interpretability, and the need for better evaluation metrics."
Text Attribute Control via Closed-Loop Disentanglement,,,"""Deep learning has revolutionized the field of natural language processing (NLP) in recent years."""
Unifying Structured Data as Graph for Data-to-Text Pre-Training,5,,"""However, their ability to generate informative and accurate text is limited."""
Exploring Human-Like Translation Strategy with Large Language Models,4,,"""training methods and applications."""
Retrieve What You Need: A Mutual Learning Framework for Open-domain Question Answering,4,,"""difficulty in handling complex questions or questions that require a deep understanding of the context."""
Evaluating the Ripple Effects of Knowledge Editing in Language Models,4,,The vulnerability of
