Title,LMs,Limitations of LLMs,Evidence
Evaluating Modular Dialogue System for Form Filling Using Large Language Models,2,,"The limitations of LLMs are mentioned as a constraint, but they are not the primary focus of the paper. The paper mainly focuses on the benefits of using LLMs in a modular dialogue system for form filling and the comparison of commercial and open-access models. The limitations of LLMs are briefly mentioned as context limitations, but the paper does not discuss them in detail."
Improving Cross-Domain Low-Resource Text Generation through LLM Post-Editing: A Programmer-Interpreter Approach,5,,The paper discusses the limitations of LLMs in terms of domain generalization and the need for post-editing to enhance their text quality. It also mentions the limitations of current post-editing methods and their suboptimal editing strategies for text generation tasks. The paper proposes a solution to address these limitations using a neural programmer-interpreter approach.
Re3val: Reinforced and Reranked Generative Retrieval,5,,"The paper identifies two limitations of generative retrieval models, which are types of LLMs. The first limitation is the lack of consideration of contextual information, and the second limitation is the inability to be fine-tuned for downstream readers. The paper proposes Re3val to address these limitations by incorporating dense passage retrieval, reinforcement learning, and question generation. These approaches can be considered as improvements or solutions to the identified limitations of LLMs."
Reward Engineering for Generating Semi-structured Explanation,5,,The abstract explicitly discusses the limitations of not-so-large language models (FLAN-T5-XXL) in generating structured explanations for their reasoning capabilities. It also highlights the challenges in producing structured explanations and the need for alternative methods like RL. The abstract also provides a detailed discussion on the limitations of SFT in addressing this challenge.
Are Large Language Model-based Evaluators the Solution to Scaling Up Multilingual Evaluation?,5,,"The abstract discusses the limitations of LLMs in multilingual evaluation and highlights the need for calibration with human judgments to ensure accurate evaluation. It also mentions the bias towards higher scores in LLM-based evaluators, which is a significant limitation."
Why Generate When You Can Discriminate? A Novel Technique for Text Classification using Language Models,1,,"The paper does mention the use of Language Models, but it does not mention any limitations of them. The focus of the paper is on a novel technique for text classification using LMs, and it does not discuss any limitations of LMs."
Evaluating Large Language Models Trained on Code,5,,"The paper discusses the limitations of the Codex language model, a fine-tuned GPT model, in great detail. The limitations include difficulty with long chains of operations and binding operations to variables in docstrings. The authors also mention that the model solves only 28.8% of the problems on HumanEval compared to 0% for GPT-3 and 11.4% for GPT-J, highlighting its limitations in code generation. The paper also discusses the broader impacts of deploying powerful code generation technologies, covering safety, security, and economics, which can be considered as limitations of LLMs."
Fine-tuning CLIP Text Encoders with Two-step Paraphrasing,5,,"The paper mentions that current CLIP models face limitations in dealing with linguistic variations in input queries, which are a common issue for LLMs, and the study aims to enhance the representations of CLIP models for paraphrases by using large language models to generate paraphrases. The limitations are discussed in detail, and the paper uses strong wording to describe the challenges faced by current models in handling linguistic variations in input queries."
ICE-Score: Instructing Large Language Models to Evaluate Code,5,,"The paper discusses the limitations of using LLMs for code intelligence tasks, specifically the difficulty in developing evaluation metrics that align with human judgment and the need for human involvement due to the complexity of programming concepts. The paper also highlights the limitations of token-matching-based metrics, such as BLEU, and the challenges of utilizing human-written test suites for functional correctness evaluation. The paper proposes a new evaluation metric, ICE-Score, to address these limitations and achieve superior correlations with human judgment and functional correctness."
Transformer-specific Interpretability,5,,"The abstract explicitly mentions ""limitations of Transformer-specific interpretability methods"" and ""current limitations"" of these methods."
Can docstring reformulation with an LLM improve code generation?,5,,The paper discusses the limitations of LLMs in the context of code generation and their sensitivity to the details in the docstrings. It also concludes by examining the limitations of the methods employed in this work.
Equipping Language Models with Tool Use Capability for Tabular Data Analysis in Finance,5,,"The abstract explicitly mentions the limitations of LLMs like error propagation and hallucination, and acknowledges these challenges in specialised areas like finance. It also proposes a solution to mitigate these limitations by equipping LLMs with external tools."
Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-following LLM,5,,"The paper discusses the limitations of LLMs in terms of their substantial model size and the need for immense computational resources, which make them unsuitable for large-scale inference or domain-specific fine-tuning. It then proposes a method, GenCo, to overcome these limitations by utilizing an LLM to generate multiple augmented texts for each input instance and high-quality training instances conditioned on predicted labels, effectively reducing the need for extensive unlabeled texts and making the training process more efficient. The paper also mentions the remarkable performance of LLMs in zero-shot language understanding and their importance in the self-training loop. The limitations are a primary focus of the paper."
Document-Level Language Models for Machine Translation,5,,"The paper explicitly discusses the limitations of language models in text classification, specifically that they may capture domain-specific features in the source domain that are not present or relevant in the target domain. The paper also proposes a solution to this issue by fine-tuning the language model on the target domain data. The limitations of language models are a central focus of the paper and are discussed in detail."
ChatGPT MT: Competitive for High- (but Not Low-) Resource Languages,5,,"The paper explicitly states that ChatGPT lags behind traditional MT models for 84.1% of the languages it covers, and is especially disadvantaged for low-resource languages and African languages."
"Large Language Models Effectively Leverage Document-level Context for Literary Translation, but Critical Errors Persist",3,,"The abstract mentions that ""critical errors still abound"" and ""a human translator's intervention remains necessary to ensure that the author's voice remains intact."" However, the limitations are not the main focus of the abstract, as it primarily discusses the benefits of using LLMs for document-level literary translation."
"Machine Translation with Large Language Models: Prompting, Few-shot Learning, and Fine-tuning with QLoRA",5,,"The title and abstract explicitly discuss the limitations of large language models and provide a detailed analysis of the challenges they face in understanding, explanation, and robustness."
Automating Behavioral Testing in Machine Translation,3,,"The abstract mentions the use of LLMs to generate a diverse set of source sentences for behavioral testing, but the limitations of LLMs are not the main focus and are not discussed in detail. The abstract primarily focuses on the benefits of using LLMs for behavioral testing in MT systems."
"ChatGPT for Suicide Risk Assessment on Social Media: Quantitative Evaluation of Model Performance, Potentials and Limitations",2,,"The paper discusses the limitations of ChatGPT, but it is mentioned as a secondary point and the limitations are not discussed in detail. The limitations mentioned are that transformer-based models fine-tuned on human-annotated datasets exhibit superior performance."
GenIE: Generative Information Extraction,5,,"The paper explicitly states that it uses a pre-trained transformer to generate relations and entities in textual form, and it discusses the limitations of existing approaches that are only applicable to small numbers of entities and relations, which can be attributed to the lack of language knowledge in those approaches. The paper also mentions the need for a unified end-to-end approach to information extraction, which can be seen as a limitation of current LLMs that require separate fine-tuning for different tasks. The paper proposes a new approach, GenIE, that addresses these limitations by using a pre-trained transformer to generate entities and relations in textual form and by using a new bi-level constrained generation strategy to ensure consistency with a predefined knowledge base schema. The paper also shows that GenIE scales to a previously unmanageable number of entities and relations, which is a significant limitation of current LLMs."
