Title,Mentions LLM Limitations
The Geometry of Multilingual Language Model Representations,no
Improving Complex Knowledge Base Question Answering via Question-to-Action and Question-to-Question Alignment,no
RankGen: Improving Text Generation with Large Ranking Models,yes
"Tomayto, Tomahto. Beyond Token-level Answer Equivalence for Question Answering Evaluation",yes
Prompting for Multimodal Hateful Meme Classification,no
Unsupervised Boundary-Aware Language Model Pretraining for Chinese Sequence Labeling,no
RetroMAE: Pre-Training Retrieval-oriented Language Models Via Masked Auto-Encoder,no
QRelScore: Better Evaluating Generated Questions with Deeper Understanding of Context-aware Relevance,no
UnifiedSKG: Unifying and Multi-Tasking Structured Knowledge Grounding with Text-to-Text Language Models,yes
Segmenting Numerical Substitution Ciphers,no
Inducer-tuning: Connecting Prefix-tuning and Adapter-tuning,no
DocInfer: Document-level Natural Language Inference using Optimal Evidence Selection,yes
Efficient Document Retrieval by End-to-End Refining and Quantizing BERT Embedding with Contrastive Product Quantization,no
Entity Extraction in Low Resource Domains with Selective Pre-training of Large Language Models,yes
How Large Language Models are Transforming Machine-Paraphrase Plagiarism,yes
“Will You Find These Shortcuts?” A Protocol for Evaluating the Faithfulness of Input Salience Methods for Text Classification,no
ELMER: A Non-Autoregressive Pre-trained Language Model for Efficient and Effective Text Generation,yes
Fine-grained Contrastive Learning for Relation Extraction,no
Z-LaVI: Zero-Shot Language Solver Fueled by Visual Imagination,yes
Using Commonsense Knowledge to Answer Why-Questions,no
Successive Prompting for Decomposing Complex Questions,no
Language Models of Code are Few-Shot Commonsense Learners,no
Generative Multi-hop Retrieval,yes
COCO-DR: Combating the Distribution Shift in Zero-Shot Dense Retrieval with Contrastive and Distributionally Robust Learning,no
Language Model Pre-Training with Sparse Latent Typing,no
Extracted BERT Model Leaks More Information than You Think!,yes
Learning Instructions with Unlabeled Data for Zero-Shot Cross-Task Generalization,no
COST-EFF: Collaborative Optimization of Spatial and Temporal Efficiency with Slenderized Multi-exit Language Models,no
An Empirical Analysis of Memorization in Fine-tuned Autoregressive Language Models,yes
EvEntS ReaLM: Event Reasoning of Entity States via Language Models,yes
Large language models are few-shot clinical information extractors,yes
Are Hard Examples also Harder to Explain? A Study with Human and Model-Generated Explanations,yes
Learning to Decompose: Hypothetical Question Decomposition Based on Comparable Texts,no
Gradient-based Constrained Sampling from Language Models,yes
Rich Knowledge Sources Bring Complex Knowledge Conflicts: Recalibrating Models to Reflect Conflicting Evidence,yes
When FLUE Meets FLANG: Benchmarks and Large Pretrained Language Model for Financial Domain,no
SafeText: A Benchmark for Exploring Physical Safety in Language Models,yes
Ground-Truth Labels Matter: A Deeper Look into Input-Label Demonstrations,no
Language Model Decomposition: Quantifying the Dependency and Correlation of Language Models,yes
Whose Language Counts as High Quality? Measuring Language Ideologies in Text Data Selection,no
Calibrating Zero-shot Cross-lingual (Un-)structured Predictions,yes
Measuring Context-Word Biases in Lexical Semantic Datasets,no
Fast-R2D2: A Pretrained Recursive Neural Network based on Pruned CKY for Grammar Induction and Text Representation,yes
Memory-assisted prompt editing to improve GPT-3 after deployment,yes
ROSE: Robust Selective Fine-tuning for Pre-trained Language Models,yes
Reproducibility Issues for BERT-based Evaluation Metrics,yes
Generative Entity Typing with Curriculum Learning,yes
Multi-level Distillation of Semantic Knowledge for Pre-training Multilingual Language Model,no
Revisiting Pre-trained Language Models and their Evaluation for Arabic Natural Language Processing,yes
Knowledge Prompting in Pre-trained Language Model for Natural Language Understanding,no
Nearest Neighbor Zero-Shot Inference,yes
RLPrompt: Optimizing Discrete Text Prompts with Reinforcement Learning,yes
Discovering Differences in the Representation of People using Contextualized Semantic Axes,no
BERTScore is Unfair: On Social Bias in Language Model-Based Metrics for Text Generation,yes
HPT: Hierarchy-aware Prompt Tuning for Hierarchical Text Classification,yes
Neural Theory-of-Mind? On the Limits of Social Intelligence in Large LMs,yes
Improving Passage Retrieval with Zero-Shot Question Generation,no
BBTv2: Towards a Gradient-Free Future with Large Language Models,no
Mixed-effects transformers for hierarchical adaptation,yes
Exploiting Global and Local Hierarchies for Hierarchical Text Classification,no
Kernel-Whitening: Overcome Dataset Bias with Isotropic Sentence Embedding,no
Automatic Generation of Socratic Subquestions for Teaching Math Word Problems,yes
The Optimal BERT Surgeon: Scalable and Accurate Second-Order Pruning for Large Language Models,yes
Re3: Generating Longer Stories With Recursive Reprompting and Revision,no
Continued Pretraining for Better Zero- and Few-Shot Promptability,no
Is a Question Decomposition Unit All We Need?,yes
Discourse-Aware Soft Prompting for Text Generation,no
SLING: Sino Linguistic Evaluation of Large Language Models,yes
Efficient Nearest Neighbor Emotion Classification with BERT-whitening,no
Self-supervised Graph Masking Pre-training for Graph-to-Text Generation,no
