Title,Mentions LLM Limitations
Named Entity Recognition Under Domain Shift via Metric Learning for Life Sciences,yes
Assessing Logical Puzzle Solving in Large Language Models: Insights from a Minesweeper Case Study,yes
Effective and Efficient Conversation Retrieval for Dialogue State Tracking with Implicit Text Summaries,no
On Linearizing Structured Data in Encoder-Decoder Language Models: Insights from Text-to-SQL,yes
Measuring and Improving Chain-of-Thought Reasoning in Vision-Language Models,yes
Adaptive Rank Selections for Low-Rank Approximation of Language Models,yes
Unleashing the Emergent Cognitive Synergy in Large Language Models: A Task-Solving Agent through Multi-Persona Self-Collaboration,yes
FPT: Feature Prompt Tuning for Few-shot Readability Assessment,no
Self-Prompting Large Language Models for Zero-Shot Open-Domain QA,yes
Head-to-Tail: How Knowledgeable are Large Language Models (LLMs)? A.K.A. Will LLMs Replace Knowledge Graphs?,yes
kNN-ICL: Compositional Task-Oriented Parsing Generalization with Nearest Neighbor In-Context Learning,no
LLMs Are Few-Shot In-Context Low-Resource Language Learners,yes
Rethinking Tabular Data Understanding with Large Language Models,yes
FLAP: Flow-Adhering Planning with Constrained Decoding in LLMs,yes
Embrace Divergence for Richer Insights: A Multi-document Summarization Benchmark and a Case Study on Summarizing Diverse Information from News Articles,yes
ALoRA: Allocating Low-Rank Adaptation for Fine-tuning Large Language Models,yes
InsCL: A Data-efficient Continual Learning Paradigm for Fine-tuning Large Language Models with Instructions,yes
An Examination of the Compositionality of Large Generative Vision-Language Models,yes
Two Heads are Better than One: Nested PoE for Robust Defense Against Multi-Backdoors,yes
VertAttack: Taking Advantage of Text Classifiers’ Horizontal Vision,yes
BeLLM: Backward Dependency Enhanced Large Language Model for Sentence Embeddings,yes
Assessing Factual Reliability of Large Language Model Knowledge,yes
Toolink: Linking Toolkit Creation and Using through Chain-of-Solving on Open-Source Model,yes
Neurocache: Efficient Vector Retrieval for Long-range Language Modeling,yes
Unveiling the Generalization Power of Fine-Tuned Large Language Models,yes
A Closer Look at the Self-Verification Abilities of Large Language Models in Logical Reasoning,yes
Exploring Self-supervised Logic-enhanced Training for Large Language Models,yes
MATHSENSEI: A Tool-Augmented Large Language Model for Mathematical Reasoning,yes
CoUDA: Coherence Evaluation via Unified Data Augmentation,no
mEdIT: Multilingual Text Editing via Instruction Tuning,no
On Large Language Models’ Hallucination with Regard to Known Facts,yes
"Language Models Hallucinate, but May Excel at Fact Verification",yes
Ensuring Safe and High-Quality Outputs: A Guideline Library Approach for Language Models,yes
"Topics, Authors, and Institutions in Large Language Model Research: Trends from 17K arXiv Papers",no
"E5: Zero-shot Hierarchical Table Analysis using Augmented LLMs via Explain, Extract, Execute, Exhibit and Extrapolate",yes
"S3Eval: A Synthetic, Scalable, Systematic Evaluation Suite for Large Language Model",yes
MMC: Advancing Multimodal Chart Understanding with Large-scale Instruction Tuning,yes
AutoPRM: Automating Procedural Supervision for Multi-Step Reasoning via Controllable Question Decomposition,yes
SEMQA: Semi-Extractive Multi-Source Question Answering,yes
Fine-Tuning Language Models with Reward Learning on Policy,yes
IterAlign: Iterative Constitutional Alignment of Large Language Models,yes
OrchestraLLM: Efficient Orchestration of Language Models for Dialogue State Tracking,no
Large Language Models Help Humans Verify Truthfulness – Except When They Are Convincingly Wrong,yes
Evaluating Large Language Models as Generative User Simulators for Conversational Recommendation,yes
A Symbolic Framework for Evaluating Mathematical Reasoning and Generalisation with Transformers,no
JAMDEC: Unsupervised Authorship Obfuscation using Constrained Decoding over Small Language Models,yes
MSciNLI: A Diverse Benchmark for Scientific Natural Language Inference,yes
SELF-GUARD: Empower the LLM to Safeguard Itself,yes
COSIGN: Contextual Facts Guided Generation for Knowledge Graph Completion,yes
Toward Informal Language Processing: Knowledge of Slang in Large Language Models,yes
Ghostbuster: Detecting Text Ghostwritten by Large Language Models,yes
End-to-End Beam Retrieval for Multi-Hop Question Answering,yes
Leveraging Generative Large Language Models with Visual Instruction and Demonstration Retrieval for Multimodal Sarcasm Detection,yes
Ungrammatical-syntax-based In-context Example Selection for Grammatical Error Correction,yes
BUFFET: Benchmarking Large Language Models for Few-shot Cross-lingual Transfer,yes
zrLLM: Zero-Shot Relational Learning on Temporal Knowledge Graphs with Large Language Models,yes
Embodied Executable Policy Learning with Language-based Scene Summarization,yes
Metacognitive Prompting Improves Understanding in Large Language Models,yes
MART: Improving LLM Safety with Multi-round Automatic Red-Teaming,yes
Routing to the Expert: Efficient Reward-guided Ensemble of Large Language Models,no
Automatic Generation of Model and Data Cards: A Step Towards Responsible AI,no
Are Multilingual LLMs Culturally-Diverse Reasoners? An Investigation into Multicultural Proverbs and Sayings,yes
The Colorful Future of LLMs: Evaluating and Improving LLMs as Emotional Supporters for Queer Youth,yes
QualEval: Qualitative Evaluation for Model Improvement,yes
VisLingInstruct: Elevating Zero-Shot Learning in Multi-Modal Language Models with Autonomous Instruction Optimization,no
A Wolf in Sheep’s Clothing: Generalized Nested Jailbreak Prompts can Fool Large Language Models Easily,yes
Bridging the Novice-Expert Gap via Models of Decision-Making: A Case Study on Remediating Math Mistakes,yes
ReTA: Recursively Thinking Ahead to Improve the Strategic Reasoning of Large Language Models,yes
Program-Aided Reasoners (Better) Know What They Know,yes
"First Tragedy, then Parse: History Repeats Itself in the New Era of Large Language Models",yes
Found in the Middle: Permutation Self-Consistency Improves Listwise Ranking in Large Language Models,yes
From Language Modeling to Instruction Following: Understanding the Behavior Shift in LLMs after Instruction Tuning,yes
LLM-based Medical Assistant Personalization with Short- and Long-Term Memory Coordination,yes
How Well Do Large Language Models Truly Ground?,yes
MILL: Mutual Verification with Large Language Models for Zero-Shot Query Expansion,yes
PaD: Program-aided Distillation Can Teach Small Models Reasoning Better than Chain-of-thought Fine-tuning,yes
"MEGAVERSE: Benchmarking Large Language Models Across Languages, Modalities, Models and Tasks",yes
Unlocking Emergent Modularity in Large Language Models,yes
PatentEval: Understanding Errors in Patent Generation,yes
Contextual Refinement of Translations: Large Language Models for Sentence and Document-Level Post-Editing,yes
