title,Mentions LLM Limitations
PID Control-Based Self-Healing to Improve the Robustness of Large Language Models,no
Extracting Social Determinants of Health from Pediatric Patient Notes Using Large Language Models: Novel Corpus and Methods,no
Fairness in Large Language Models: A Taxonomic Survey,yes
Algorithmic Collusion by Large Language Models,yes
Recover: A Neuro-Symbolic Framework for Failure Detection and Recovery,yes
Can Language Models Recognize Convincing Arguments?,yes
The Larger the Better? Improved LLM Code-Generation via Budget Reallocation,yes
Training-Free Semantic Segmentation via LLM-Supervision,no
How Much are LLMs Contaminated? A Comprehensive Survey and the LLMSanitize Library,yes
Scaling Properties of Speech Language Models,no
WavLLM: Towards Robust and Adaptive Speech Large Language Model,no
Face It Yourselves: An LLM-Based Two-Stage Strategy to Localize Configuration Errors via Logs,yes
Learning to Plan for Language Modeling from Unlabeled Data,no
RQ-RAG: Learning to Refine Queries for Retrieval Augmented Generation,yes
Extensive Self-Contrast Enables Feedback-Free Language Model Alignment,no
AI Act and Large Language Models (LLMs): When critical issues and privacy impact require human and ethical oversight,yes
EvoCodeBench: An Evolving Code Generation Benchmark Aligned with Real-World Code Repositories,yes
Harnessing the Power of Large Language Model for Uncertainty Aware Graph Processing,no
CHOPS: CHat with custOmer Profile Systems for Customer Service with LLMs,no
A Review of Modern Recommender Systems Using Generative Models (Gen-RecSys),yes
DiffAgent: Fast and Accurate Text-to-Image API Selection with Large Language Model,no
ParaICL: Towards Robust Parallel In-Context Learning,no
CodeBenchGen: Creating Scalable Execution-based Code Generation Benchmarks,no
DivTOD: Unleashing the Power of LLMs for Diversifying Task-Oriented Dialogue Representations,yes
Comparing Bad Apples to Good Oranges: Aligning Large Language Models via Joint Preference Optimization,no
Humane Speech Synthesis through Zero-Shot Emotion and Disfluency Generation,yes
Multi-hop Question Answering under Temporal Knowledge Editing,yes
PROMPT-SAW: Leveraging Relation-Aware Graphs for Textual Prompt Compression,yes
Contextual AI Journaling: Integrating LLM and Time Series Behavioral Sensing Technology to Promote Self-Reflection and Well-being using the MindScape App,no
Dialectical Alignment: Resolving the Tension of 3H and Security Threats of LLMs,yes
Edinburgh Clinical NLP at SemEval-2024 Task 2: Fine-tune your model unless you have access to GPT-4,no
Linguistic Calibration of Language Models,no
NumeroLogic: Number Encoding for Enhanced LLMs' Numerical Reasoning,no
MetaIE: Distilling a Meta Model from LLM for All Kinds of Information Extraction Tasks,no
Do Vision-Language Models Understand Compound Nouns?,yes
CoDa: Constrained Generation based Data Augmentation for Low-Resource NLP,yes
Aurora-M: The First Open Source Multilingual Language Model Red-teamed according to the U.S. Executive Order,no
Small Language Models Learn Enhanced Reasoning Skills from Medical Textbooks,no
Controllable and Diverse Data Augmentation with Large Language Model for Low-Resource Open-Domain Dialogue Generation,yes
Can LLMs Master Math? Investigating Large Language Models on Math Stack Exchange,yes
Augmenting NER Datasets with LLMs: Towards Automated and Refined Annotation,no
Exploring Unseen Environments with Robots using Large Language and Vision Models through a Procedurally Generated 3D Scene Representation,yes
ST-LLM: Large Language Models Are Effective Temporal Learners,no
"A Comprehensive Study on NLP Data Augmentation for Hate Speech Detection: Legacy Methods, BERT, and LLMs",yes
Instruction-Driven Game Engines on Large Language Models,no
Secret Keepers: The Impact of LLMs on Linguistic Markers of Personal Traits,yes
DeFT: Flash Tree-attention with IO-Awareness for Efficient Tree-search-based LLM Inference,no
A Survey of using Large Language Models for Generating Infrastructure as Code,no
Is Factuality Decoding a Free Lunch for LLMs? Evaluation on Knowledge Editing Benchmark,yes
Injecting New Knowledge into Large Language Models via Supervised Fine-Tuning,yes
Multi-Conditional Ranking with Large Language Models,yes
EventGround: Narrative Reasoning by Grounding to Eventuality-centric Knowledge Graphs,yes
Conceptual and Unbiased Reasoning in Language Models,no
GPTA: Generative Prompt Tuning Assistant for Synergistic Downstream Neural Network Enhancement with LLMs,no
"Wait, It's All Token Noise? Always Has Been: Interpreting LLM Behavior Using Shapley Value",yes
Uncovering Bias in Large Vision-Language Models with Counterfactuals,yes
On-the-fly Definition Augmentation of LLMs for Biomedical NER,yes
Unsolvable Problem Detection: Evaluating Trustworthiness of Vision Language Models,yes
