Source,Title,Talks about LLMs,Rate,Evidence,Year,Month,Cluster
aacl2022,VLStereoSet: A Study of Stereotypical Bias in Pre-trained Vision-Language Models,Yes.,4,experiments on six representative pretrained visionlanguage models demonstrate that stereotypical biases clearly exist in most of these models and across all four bias categories with gender bias slightly more evident,2022,November,7
aacl2022,Demographic-Aware Language Model Fine-tuning as a Bias Mitigation Technique,Yes.,4,bertlike language models lms when exposed to large unstructured datasets are known to learn and sometimes even amplify the biases present in such data,2022,November,7
emnlp2022,RankGen: Improving Text Generation with Large Ranking Models,Yes.,5,modern language models often assign high probabilities to output sequences that are repetitive incoherent or irrelevant to the prefix as such modelgenerated text also contains such artifacts,2022,December,5
emnlp2022,An Empirical Analysis of Memorization in Fine-tuned Autoregressive Language Models,Yes.,5,large language models are shown to present privacy risks through memorization of training data and we empirically study memorization of finetuning methods using membership inference and extraction attacks and show that their susceptibility to attacks is very different,2022,December,7
emnlp2022,EvEntS ReaLM: Event Reasoning of Entity States via Language Models,Yes.,5,nominally large language models llm have been exposed to procedural knowledge about how objects interact yet our benchmarking shows they fail to reason about the world,2022,December,5
emnlp2022,Rich Knowledge Sources Bring Complex Knowledge Conflicts: Recalibrating Models to Reflect Conflicting Evidence,Yes.,5,we simulate knowledge conflicts ie where parametric knowledge suggests one answer and different passages suggest different answers and examine model behaviors and contradictions among knowledge sources affect model confidence only marginally,2022,December,4
emnlp2022,SafeText: A Benchmark for Exploring Physical Safety in Language Models,Yes.,5,we find that stateoftheart large language models are susceptible to the generation of unsafe text and have difficulty rejecting unsafe advice,2022,December,7
emnlp2022,Memory-assisted prompt editing to improve GPT-3 after deployment,Yes.,5,large lms such as gpt are powerful but can commit mistakes that are obvious to humans,2022,December,2
emnlp2022,BERTScore is Unfair: On Social Bias in Language Model-Based Metrics for Text Generation,Yes.,4,however it has been demonstrated that plms encode a range of stereotypical societal biases leading to a concern about the fairness of plms as metrics and we demonstrate that popular plmbased metrics exhibit significantly higher social bias than traditional metrics on  sensitive attributes,2022,December,7
emnlp2022,Neural Theory-of-Mind? On the Limits of Social Intelligence in Large LMs,Yes.,5,we show that one of todayâs largest language models gpt brown et al  lacks this kind of social intelligence outofthe box and our results show that models struggle substantially at these theory of mind tasks and we,2022,December,6
emnlp2022,Improving Temporal Generalization of Pre-trained Language Models with Lexical Semantic Change,Yes.,5,neural language models at scale suffer from poor temporal generalization capability and language model pretrained on static data from past years performs worse over time on emerging data,2022,December,5
emnlp2022,Perturbation Augmentation for Fairer NLP,Yes.,4,unwanted and often harmful social biases are becoming ever more salient in nlp research affecting both models and datasets and lastly we discuss outstanding questions about how best to evaluate the unfairness of large language models,2022,December,7
emnlp2022,"The better your Syntax, the better your Semantics? Probing Pretrained Language Models for the English Comparative Correlative",Yes.,5,our results show that all three investigated plms are able to recognise the structure of the cc but fail to use its meaning while humanlike performance of plms on many nlp tasks has been alleged this indicates that plms still suffer from substantial shortcomings in central domains of linguistic knowledge,2022,December,6
emnlp2022,LittleBird: Efficient Faster & Longer Transformer for Question Answering,Yes.,5,but it has a limitation dealing with long inputs due to its attention mechanism,2022,December,5
emnlp2022,Invariant Language Modeling,Yes.,5,yet they suffer from spurious correlations poor outofdomain generalization and biases,2022,December,4
emnlp2022,Mutual Information Alleviates Hallucinations in Abstractive Summarization,Yes.,5,these models still exhibit the tendency to hallucinate ie output content not supported by the source document,2022,December,3
emnlp2022,Evaluating the Impact of Model Scale for Compositional Generalization in Semantic Parsing,Yes.,5,despite their strong performance on many tasks pretrained language models have been shown to struggle on outofdistribution compositional generalization and overall our study highlights limitations of current techniques for effectively leveraging model scale for compositional generalization while our analysis also suggests promising directions for future work,2022,December,6
emnlp2022,A Systematic Investigation of Commonsense Knowledge in Large Language Models,Yes.,5,our findings highlight the limitations of pretrained lms in acquiring commonsense knowledge without taskspecific supervision furthermore using larger models or fewshot evaluation is insufficient to achieve humanlevel commonsense performance,2022,December,6
emnlp2022,SEAL: Interactive Tool for Systematic Error Analysis and Labeling,Yes.,5,however many times these models systematically fail on tail data or rare groups not obvious in aggregate evaluation,2022,December,4
acl2022,Auto-Debias: Debiasing Masked Language Models with Automated Biased Prompts,Yes.,4,humanlike biases and undesired social stereotypes exist in large pretrained language models given the wide adoption of these models in realworld applications mitigating such biases has become an emerging and important task,2022,May,7
acl2022,Are Prompt-based Models Clueless?,Yes.,5,models with a taskspecific head require a lot of training data making them susceptible to learning and exploiting datasetspecific superficial cues that do not generalize to other datasets and analyzing fewshot promptbased models on mnli snli hans and copa has revealed that promptbased models also exploit superficial cues while the models perform well on instances with superficial cues,2022,May,4
acl2022,TruthfulQA: Measuring How Models Mimic Human Falsehoods,Yes.,5,models generated many false answers that mimic popular misconceptions and have the potential to deceive humans and the largest models were generally the least truthful,2022,May,4
acl2022,Upstream Mitigation Is Not All You Need: Testing the Bias Transfer Hypothesis in Pre-Trained Language Models,Yes.,4,we investigate the bias transfer hypothesis,2022,May,6
acl2022,A Token-level Reference-free Hallucination Detection Benchmark for Free-form Text Generation,Yes.,5,large pretrained generative models like gpt often suffer from hallucinating nonexistent or incorrect content which undermines their potential merits in real applications,2022,May,3
acl2022,Is GPT-3 Text Indistinguishable from Human Text? Scarecrow: A Framework for Scrutinizing Machine Text,Yes.,4,errors in machine generations become ever subtler and harder to spot and the ten error categories of scarecrowâsuch as redundancy commonsense errors and incoherence,2022,May,2
acl2022,Exploiting Language Model Prompts Using Similarity Measures: A Case Study on the Word-in-Context Task,Yes.,5,existing promptbased techniques fail on the semantic distinction task of the wordincontext wic dataset specifically none of the existing fewshot approaches including the incontext learning of gpt can attain a performance that is meaningfully different from the random baseline,2022,May,4
acl2022,Softmax Bottleneck Makes Language Models Unable to Represent Multi-mode Word Distributions,Yes.,5,however we discover that this single hidden state cannot produce all probability distributions regardless of the lm size or training data size because the single hidden state embedding cannot be close to the embeddings of all the possible next words simultaneously when there are other interfering word embeddings between them,2022,May,0
acl2022,Coherence boosting: When your pretrained language model is not paying enough attention,Yes.,5,we demonstrate that large language models have insufficiently learned the effect of distant words on nexttoken prediction,2022,May,6
acl2022,Data Contamination: From Memorization to Exploitation,Yes.,5,it is not clear to what extent models exploit the contaminated data for downstream tasks and our results highlight the importance of analyzing massive webscale datasets to verify that progress in nlp is obtained by better language understanding and not better data exploitation,2022,May,7
acl2022,Kronecker Decomposition for GPT Compression,Yes.,5,despite the superior performance of gpt this overparameterized nature of gpt can be very prohibitive for deploying this model on devices with limited computational power or memory,2022,May,5
naacl2022,Provably Confidential Language Modelling,Yes.,5,large language models are shown to memorize privacy information such as social security numbers in training data,2022,July,7
naacl2022,"When a sentence does not introduce a discourse entity, Transformer-based models still sometimes refer to it",Yes.,5,we find that while the models are to a certain extent sensitive to the interactions we investigate they are all challenged by the presence of multiple nps and their behavior is not systematic which suggests that even models at the scale of gpt do not fully acquire basic entity tracking abilities,2022,July,4
naacl2022,Measuring Fairness with Biased Rulers: A Comparative Study on Bias Metrics for Pre-trained Language Models,Yes.,4,these results indicate that fairness or bias evaluation remains challenging for contextualized language models among other reasons because these choices remain subjective,2022,July,7
naacl2022,Curriculum: A Broad-Coverage Benchmark for Linguistic Phenomena in Natural Language Understanding,Yes.,5,current evaluation methods show some significant shortcomings they fail to effectively map out the aspects of language understanding that remain challenging to existing models and our experiments provide insight into the limitation of existing benchmark datasets and stateoftheart models,2022,July,6
naacl2022,Exposing the Limits of Video-Text Models through Contrast Sets,Yes.,5,we see that model performance suffers across all methods erasing the gap between recent clipbased methods vs the earlier methods,2022,July,4
naacl2022,KALA: Knowledge-Augmented Language Model Adaptation,Yes.,5,simple finetuning of plms on the other hand might be suboptimal for domainspecific tasks because they cannot possibly cover knowledge from all domains while adaptive pretraining of plms can help them obtain domainspecific knowledge it requires a large training cost moreover adaptive pretraining can harm the plmâs performance on the downstream task by causing catastrophic forgetting of its general,2022,July,5
naacl2022,You Donâ€™t Know My Favorite Color: Preventing Dialogue Representations from Revealing Speakersâ€™ Private Personas,Yes.,4,privacy concerns have arisen recently,2022,July,1
naacl2022,Methods for Estimating and Improving Robustness of Language Models,Yes.,5,large language models llms suffer notorious flaws related to their preference for shallow textual relations over full semantic complexity of the problem and weak ability to generalise outside of the training domain,2022,July,5
