Title,Evidence,Cluster
VLStereoSet: A Study of Stereotypical Bias in Pre-trained Vision-Language Models,experiments on six representative pretrained visionlanguage models demonstrate that stereotypical biases clearly exist in most of these models and across all four bias categories with gender bias slightly more evident,5
Demographic-Aware Language Model Fine-tuning as a Bias Mitigation Technique,bertlike language models lms when exposed to large unstructured datasets are known to learn and sometimes even amplify the biases present in such data,5
RankGen: Improving Text Generation with Large Ranking Models,modern language models often assign high probabilities to output sequences that are repetitive incoherent or irrelevant to the prefix as such modelgenerated text also contains such artifacts,2
An Empirical Analysis of Memorization in Fine-tuned Autoregressive Language Models,large language models are shown to present privacy risks through memorization of training data and we empirically study memorization of finetuning methods using membership inference and extraction attacks and show that their susceptibility to attacks is very different,7
EvEntS ReaLM: Event Reasoning of Entity States via Language Models,nominally large language models llm have been exposed to procedural knowledge about how objects interact yet our benchmarking shows they fail to reason about the world,4
Rich Knowledge Sources Bring Complex Knowledge Conflicts: Recalibrating Models to Reflect Conflicting Evidence,we simulate knowledge conflicts ie where parametric knowledge suggests one answer and different passages suggest different answers and examine model behaviors and contradictions among knowledge sources affect model confidence only marginally,2
SafeText: A Benchmark for Exploring Physical Safety in Language Models,we find that stateoftheart large language models are susceptible to the generation of unsafe text and have difficulty rejecting unsafe advice,7
Memory-assisted prompt editing to improve GPT-3 after deployment,large lms such as gpt are powerful but can commit mistakes that are obvious to humans,4
BERTScore is Unfair: On Social Bias in Language Model-Based Metrics for Text Generation,however it has been demonstrated that plms encode a range of stereotypical societal biases leading to a concern about the fairness of plms as metrics and we demonstrate that popular plmbased metrics exhibit significantly higher social bias than traditional metrics on  sensitive attributes,5
Neural Theory-of-Mind? On the Limits of Social Intelligence in Large LMs,we show that one of todayâs largest language models gpt brown et al  lacks this kind of social intelligence outofthe box and our results show that models struggle substantially at these theory of mind tasks and we,2
Improving Temporal Generalization of Pre-trained Language Models with Lexical Semantic Change,neural language models at scale suffer from poor temporal generalization capability and language model pretrained on static data from past years performs worse over time on emerging data,2
Perturbation Augmentation for Fairer NLP,unwanted and often harmful social biases are becoming ever more salient in nlp research affecting both models and datasets and lastly we discuss outstanding questions about how best to evaluate the unfairness of large language models,5
"The better your Syntax, the better your Semantics? Probing Pretrained Language Models for the English Comparative Correlative",our results show that all three investigated plms are able to recognise the structure of the cc but fail to use its meaning while humanlike performance of plms on many nlp tasks has been alleged this indicates that plms still suffer from substantial shortcomings in central domains of linguistic knowledge,1
LittleBird: Efficient Faster & Longer Transformer for Question Answering,but it has a limitation dealing with long inputs due to its attention mechanism,4
Invariant Language Modeling,yet they suffer from spurious correlations poor outofdomain generalization and biases,2
Mutual Information Alleviates Hallucinations in Abstractive Summarization,these models still exhibit the tendency to hallucinate ie output content not supported by the source document,0
Evaluating the Impact of Model Scale for Compositional Generalization in Semantic Parsing,despite their strong performance on many tasks pretrained language models have been shown to struggle on outofdistribution compositional generalization and overall our study highlights limitations of current techniques for effectively leveraging model scale for compositional generalization while our analysis also suggests promising directions for future work,2
A Systematic Investigation of Commonsense Knowledge in Large Language Models,our findings highlight the limitations of pretrained lms in acquiring commonsense knowledge without taskspecific supervision furthermore using larger models or fewshot evaluation is insufficient to achieve humanlevel commonsense performance,2
SEAL: Interactive Tool for Systematic Error Analysis and Labeling,however many times these models systematically fail on tail data or rare groups not obvious in aggregate evaluation,2
Auto-Debias: Debiasing Masked Language Models with Automated Biased Prompts,humanlike biases and undesired social stereotypes exist in large pretrained language models given the wide adoption of these models in realworld applications mitigating such biases has become an emerging and important task,5
Are Prompt-based Models Clueless?,models with a taskspecific head require a lot of training data making them susceptible to learning and exploiting datasetspecific superficial cues that do not generalize to other datasets and analyzing fewshot promptbased models on mnli snli hans and copa has revealed that promptbased models also exploit superficial cues while the models perform well on instances with superficial cues,2
TruthfulQA: Measuring How Models Mimic Human Falsehoods,models generated many false answers that mimic popular misconceptions and have the potential to deceive humans and the largest models were generally the least truthful,2
Upstream Mitigation Is Not All You Need: Testing the Bias Transfer Hypothesis in Pre-Trained Language Models,we investigate the bias transfer hypothesis,2
A Token-level Reference-free Hallucination Detection Benchmark for Free-form Text Generation,large pretrained generative models like gpt often suffer from hallucinating nonexistent or incorrect content which undermines their potential merits in real applications,6
Is GPT-3 Text Indistinguishable from Human Text? Scarecrow: A Framework for Scrutinizing Machine Text,errors in machine generations become ever subtler and harder to spot and the ten error categories of scarecrowâsuch as redundancy commonsense errors and incoherence,2
Exploiting Language Model Prompts Using Similarity Measures: A Case Study on the Word-in-Context Task,existing promptbased techniques fail on the semantic distinction task of the wordincontext wic dataset specifically none of the existing fewshot approaches including the incontext learning of gpt can attain a performance that is meaningfully different from the random baseline,2
Softmax Bottleneck Makes Language Models Unable to Represent Multi-mode Word Distributions,however we discover that this single hidden state cannot produce all probability distributions regardless of the lm size or training data size because the single hidden state embedding cannot be close to the embeddings of all the possible next words simultaneously when there are other interfering word embeddings between them,2
Coherence boosting: When your pretrained language model is not paying enough attention,we demonstrate that large language models have insufficiently learned the effect of distant words on nexttoken prediction,2
Data Contamination: From Memorization to Exploitation,it is not clear to what extent models exploit the contaminated data for downstream tasks and our results highlight the importance of analyzing massive webscale datasets to verify that progress in nlp is obtained by better language understanding and not better data exploitation,7
Kronecker Decomposition for GPT Compression,despite the superior performance of gpt this overparameterized nature of gpt can be very prohibitive for deploying this model on devices with limited computational power or memory,4
Provably Confidential Language Modelling,large language models are shown to memorize privacy information such as social security numbers in training data,5
"When a sentence does not introduce a discourse entity, Transformer-based models still sometimes refer to it",we find that while the models are to a certain extent sensitive to the interactions we investigate they are all challenged by the presence of multiple nps and their behavior is not systematic which suggests that even models at the scale of gpt do not fully acquire basic entity tracking abilities,2
Measuring Fairness with Biased Rulers: A Comparative Study on Bias Metrics for Pre-trained Language Models,these results indicate that fairness or bias evaluation remains challenging for contextualized language models among other reasons because these choices remain subjective,2
Curriculum: A Broad-Coverage Benchmark for Linguistic Phenomena in Natural Language Understanding,current evaluation methods show some significant shortcomings they fail to effectively map out the aspects of language understanding that remain challenging to existing models and our experiments provide insight into the limitation of existing benchmark datasets and stateoftheart models,2
Exposing the Limits of Video-Text Models through Contrast Sets,we see that model performance suffers across all methods erasing the gap between recent clipbased methods vs the earlier methods,2
KALA: Knowledge-Augmented Language Model Adaptation,simple finetuning of plms on the other hand might be suboptimal for domainspecific tasks because they cannot possibly cover knowledge from all domains while adaptive pretraining of plms can help them obtain domainspecific knowledge it requires a large training cost moreover adaptive pretraining can harm the plmâs performance on the downstream task by causing catastrophic forgetting of its general,4
You Donâ€™t Know My Favorite Color: Preventing Dialogue Representations from Revealing Speakersâ€™ Private Personas,privacy concerns have arisen recently,7
Methods for Estimating and Improving Robustness of Language Models,large language models llms suffer notorious flaws related to their preference for shallow textual relations over full semantic complexity of the problem and weak ability to generalise outside of the training domain,4
Exploring the Effect of Dialect Mismatched Language Models in Telugu Automatic Speech Recognition,we show that dialect variations that surface in the form of a different lexicon grammar and occasionally semantics can significantly degrade the performance of the lm under mismatched conditions,1
MIL-Decoding: Detoxifying Language Models at Token-Level via Multiple Instance Learning,despite advances in large pretrained neural language models they are prone to generating toxic language which brings security risks to their applications,7
Knowledge of cultural moral norms in large language models,we find that pretrained english language models predict empirical moral norms across countries worse than the english moral norms reported previously however finetuning language models on the survey data improves inference across countries at the expense of a less accurate estimate of the english moral norms,2
A Causal Framework to Quantify the Robustness of Mathematical Reasoning with Language Models,the robustness of these models has also been called into question recent works have shown that models can rely on shallow patterns in the problem description when generating a solution and our analysis shows that robustness does not appear to continuously improve as a function of size,2
ALERT: Adapt Language Models to Reasoning Tasks,it is unclear whether these models are applying reasoning skills they have learnt during pretraining or if they are simply memorizing their training corpus at finer granularity and we also find that when language models are finetuned they tend to overfit to the prompt template which hurts the robustness of models causing generalization,2
ThinkSum: Probabilistic reasoning over sets using large language models,recent studies show that even the more advanced llms fail in scenarios that require reasoning over multiple objects or facts and making sequences of logical deductions,1
Do language models have coherent mental models of everyday things?,we observe that stateoftheart pretrained language models lms like gpt and macaw have fragments of knowledge about these everyday things but do not have fully coherent parts mental models  accurate  conditional constraint violation,2
Plan-and-Solve Prompting: Improving Zero-Shot Chain-of-Thought Reasoning by Large Language Models,despite the success of zeroshotcot it still suffers from three pitfalls,7
Dynamic and Efficient Inference for Text Generation via BERT Family,they suffer from inefficient inference on computation and memory due to their largescale parameters and the universal autoregressive decoding paradigm,4
Social-Group-Agnostic Bias Mitigation via the Stereotype Content Model,existing bias mitigation methods require socialgroupspecific word pairs eg âœmanâ â âœwomanâ for each social attribute eg gender restricting the bias mitigation to only one specified social attribute further this constraint renders such methods impractical and costly for mitigating bias in,5
Explanation-based Finetuning Makes Models More Robust to Spurious Cues,large language models llms are so powerful that they sometimes learn correlations between labels and features that are irrelevant to the task leading to poor generalization on outofdistribution data,4
"On Second Thought, Letâ€™s Not Think Step by Step! Bias and Toxicity in Zero-Shot Reasoning",we find that zeroshot cot reasoning in sensitive domains significantly increases a modelâs likelihood to produce harmful or undesirable output and our work suggests that zeroshot cot should be used with caution on socially important tasks especially when marginalized groups or sensitive topics are involved,7
MISGENDERED: Limits of Large Language Models in Understanding Pronouns,when prompted outofthebox language models perform poorly at correctly predicting neopronouns averaging  accuracy and genderneutral pronouns averaging  accuracy this inability to generalize results from a lack of representation of nonbinary pronouns in training data and memorized associations,2
SCOTT: Self-Consistent Chain-of-Thought Distillation,even more concerning there is little guarantee that the generated rationales are consistent with lmâs predictions or faithfully justify the decisions,3
Evaluating Open-Domain Question Answering in the Era of Large Language Models,the automated models struggle in detecting hallucinations in llm answers and are thus unable to evaluate llms,6
Verify-and-Edit: A Knowledge-Enhanced Chain-of-Thought Framework,one of its most fatal disadvantages is the lack of factual correctness generating unfactual texts not only leads to lower performances but also degrades the trust and validity of their applications,7
Language model acceptability judgements are not always robust to context,we find that model judgements are generally robust when placed in randomly sampled linguistic contexts but are unstable when contexts match the test stimuli in syntactic structure and this sensitivity to highly specific syntactic features of the context can only be explained by the modelsâ implicit incontext learning abilities,2
RobuT: A Systematic Study of Table QA Robustness Against Human-Annotated Adversarial Perturbations,our results indicate that both stateoftheart table qa models and large language models eg gpt with fewshot learning falter in these adversarial sets,2
Learning Non-linguistic Skills without Sacrificing Linguistic Proficiency,nonlinguistic skill injection typically comes at a cost for llms,1
Parallel Context Windows for Large Language Models,when applied to processing long text large language models llms are limited by their context window,4
Contrastive Learning with Adversarial Examples for Alleviating Pathology of Language Model,however these models also suffer from the pathology of overconfidence in the outofdistribution examples potentially making the model difficult to interpret and making the interpretation methods fail to provide faithful attributions,2
SQuARe: A Large-Scale Dataset of Sensitive Questions and Acceptable Responses Created through Human-Machine Collaboration,the potential social harms that large language models pose such as generating offensive content and reinforcing biases are steeply rising,5
Are Machine Rationales (Not) Useful to Humans? Measuring and Improving Human Utility of Free-text Rationales,we observe that human utility of existing rationales is far from satisfactory and expensive to estimate with human studies existing metrics like task performance of the lm generating the rationales or similarity between generated and gold rationales are not good indicators of their human utility,3
RL4F: Generating Natural Language Feedback with Reinforcement Learning for Repairing Model Outputs,despite their unprecedented success even the largest language models make mistakes and this approach does not apply to blackbox or limited access models such as chatgpt as they cannot be finetuned moreover in the era of large generalpurpose language agents finetuning,4
Targeted Data Generation: Finding and Fixing Model Weaknesses,stateoftheart nlp models often fail systematically on specific subgroups of data resulting in unfair outcomes and eroding user trust,5
