Source,Title,Talks about LLMs,Rate,Evidence,Year,Month,Keyphrase,Combined_Text,Topic
aacl2022,VLStereoSet: A Study of Stereotypical Bias in Pre-trained Vision-Language Models,Yes.,4,experiment six representative pretraine visionlanguage demonstrate stereotypical bias clearly exist across four bias category gender bias slightly evident,2022,November,"Keyphrase: ""Stereotypical biases in vision-language models""",experiment six representative pretraine visionlanguage demonstrate stereotypical bias clearly exist across four bias category gender bias slightly evident keyphrase stereotypical bias visionlanguage,0
aacl2022,Demographic-Aware Language Model Fine-tuning as a Bias Mitigation Technique,Yes.,4,bertlike lm expose unstructured dataset know learn sometimes even amplify bias present,2022,November,"Keyphrase: ""Bias amplification""",bertlike lm expose unstructured dataset know learn sometimes even amplify bias present keyphrase bias amplification,0
emnlp2022,RankGen: Improving Text Generation with Large Ranking Models,Yes.,5,modern often assign high probability sequence repetitive incoherent irrelevant prefix modelgenerated text also contain artifact,2022,December,"Keyphrase: ""Repetitive and incoherent output""",modern often assign high probability sequence repetitive incoherent irrelevant prefix modelgenerate text also contain artifact keyphrase repetitive incoherent,6
emnlp2022,An Empirical Analysis of Memorization in Fine-tuned Autoregressive Language Models,Yes.,5,show present privacy risk memorization training empirically study memorization finetune use membership inference extraction attack show susceptibility attack different,2022,December,"Keyphrase: ""Privacy risks and susceptibility to attacks""",show present privacy risk memorization training empirically study memorization finetune use membership inference extraction attack show susceptibility attack different keyphrase privacy risk susceptibility attack,0
emnlp2022,Rich Knowledge Sources Bring Complex Knowledge Conflicts: Recalibrating Models to Reflect Conflicting Evidence,Yes.,5,simulate conflict ie parametric suggest one different passage suggest different examine behavior contradiction among source affect confidence marginally,2022,December,"Keyphrase: ""Inconsistent behavior""",simulate conflict ie parametric suggest one different passage suggest different examine behavior contradiction among source affect confidence marginally keyphrase inconsistent behavior,5
emnlp2022,SafeText: A Benchmark for Exploring Physical Safety in Language Models,Yes.,5,find stateoftheart susceptible generation unsafe text difficulty reject unsafe advice,2022,December,"Keyphrase: ""Susceptibility to generating unsafe text""",find stateoftheart susceptible generation unsafe text difficulty reject unsafe advice keyphrase susceptibility unsafe text,0
emnlp2022,Memory-assisted prompt editing to improve GPT-3 after deployment,Yes.,5,lm gpt powerful commit mistake obvious human,2022,December,"Keyphrase: ""Prone to obvious mistakes""",lm gpt powerful commit mistake obvious human keyphrase prone obvious mistake,1
emnlp2022,BERTScore is Unfair: On Social Bias in Language Model-Based Metrics for Text Generation,Yes.,4,however demonstrate plm encode range stereotypical societal bias lead concern fairness plm metric demonstrate popular plmbase metric exhibit significantly high social bias traditional metric   sensitive attribute,2022,December,"Keyphrase: ""Societal bias encoding""",however demonstrate plm encode range stereotypical societal bias lead concern fairness plm metric demonstrate popular plmbase metric exhibit significantly high social bias traditional metric sensitive attribute keyphrase societal bias encoding,0
emnlp2022,Neural Theory-of-Mind? On the Limits of Social Intelligence in Large LMs,Yes.,5,show one todayÃ¢s gpt brown et al   lack kind social intelligence outofthe box show struggle substantially theory mind,2022,December,"Keyphrase: ""Lack of social intelligence""",show one todayãs gpt brown et al lack kind social intelligence outofthe box show struggle substantially theory mind keyphrase lack social intelligence,1
emnlp2022,Improving Temporal Generalization of Pre-trained Language Models with Lexical Semantic Change,Yes.,5,neural scale suffer poor temporal generalization capability pretraine static past year bad time emerge,2022,December,"Keyphrase: ""Limited temporal generalization""",neural scale suffer poor temporal generalization capability pretraine static past year bad time emerge keyphrase limited temporal generalization,1
