Source ,Title,Talks about LLMs,Rate,Evidence,Year ,Date ,Keyphrase
arxiv2024,HD-Eval: Aligning Large Language Model Evaluators Through Hierarchical Criteria Decomposition,Yes.,4,"""the alignment and coverage of LLM-based evaluations are often limited by the scope and potential bias of the evaluation prompts and criteria.""",2024,2024-02-24T08:01:32Z,"Keyphrase: ""Limited evaluation scope and potential bias"""
arxiv2024,Foot In The Door: Understanding Large Language Model Jailbreaking via Cognitive Psychology,Yes.,5,"""Previous studies have shown the weakness of current LLMs when confronted with such jailbreaking attacks.""",2024,2024-02-24T02:27:55Z,"Keyphrase: ""Vulnerability to jailbreaking attacks"""
arxiv2024,Leveraging ChatGPT in Pharmacovigilance Event Extraction: An Empirical Study,Yes.,4,"""The findings demonstrate that while ChatGPT demonstrates reasonable performance with appropriate demonstration selection strategies, it still falls short compared to fully fine-tuned small models. Additionally, we explore the potential of leveraging ChatGPT for data augmentation. However, our investigation reveals that the inclusion of synthesized data into fine-tuning may lead to a decrease in performance, possibly attributed to noise in the ChatGPT-generated labels",2024,2024-02-24T00:38:29Z,"Keyphrase: ""Performance limitations with data augmentation"""
arxiv2024,Exploring Failure Cases in Multimodal Reasoning About Physical Dynamics,Yes.,5,"""demonstrate examples of where, in a zero-shot setting, both text and multimodal LLMs display atomic world knowledge about various objects but fail to compose this knowledge in correct solutions for an object manipulation and placement task.""",2024,2024-02-24T00:01:01Z,"Keyphrase: ""Limited world knowledge integration"""
arxiv2024,DOSA: A Dataset of Social Artifacts from Different Indian Geographical Subcultures,Yes.,4,"""Since the training data for LLMs is web-based and the Web is limited in its representation of information, it does not capture knowledge present within communities that are not on the Web. Thus, these models exacerbate the inequities, semantic misalignment, and stereotypes from the Web",2024,2024-02-23T20:10:18Z,"Keyphrase: ""Limited web-based representation"""
arxiv2024,CI w/o TN: Context Injection without Task Name for Procedure Planning,Yes.,5,"""we propose a much weaker setting without task name as supervision, which is not currently solvable by existing large language models since they require good prompts with sufficient information.""",2024,2024-02-23T19:34:47Z,"Keyphrase: ""Dependency on task-specific supervision"""
arxiv2024,The Good and The Bad: Exploring Privacy Issues in Retrieval-Augmented Generation (RAG),Yes.,4,"""Whereas extensive research has demonstrated the privacy risks of large language models (LLMs),"" and ""posing new privacy issues that are currently under-explored.""",2024,2024-02-23T18:35:15Z,"Keyphrase: ""Privacy risks"""
arxiv2024,Prejudice and Caprice: A Statistical Framework for Measuring Social Discrimination in Large Language Models,Yes.,4,"""The growing integration of large language models (LLMs) into social operations amplifies their impact on decisions in crucial areas such as economics, law, education, and healthcare, raising public concerns about these models' discrimination-related safety and reliability."" and ""we present the Prejudice-Caprice Framework (PCF) that comprehensively measures discrimination in LLMs by considering both their consistently",2024,2024-02-23T18:15:56Z,"Keyphrase: ""Discrimination and bias amplification"""
arxiv2024,Explorations of Self-Repair in Language Models,Yes.,4,"""We further show that on the full training distribution self-repair is imperfect, as the original direct effect of the head is not fully restored, and noisy, since the degree of self-repair varies significantly across different prompts (sometimes overcorrecting beyond the original effect).""",2024,2024-02-23T15:42:12Z,"Keyphrase: ""Inconsistent self-repair mechanisms"""
arxiv2024,How (un)ethical are instruction-centric responses of LLMs? Unveiling the vulnerabilities of safety guardrails to harmful queries,Yes.,5,"""Despite their potential, these models can be tricked into producing harmful or unethical content through various sophisticated methods, including 'jailbreaking' techniques and targeted manipulation.""",2024,2024-02-23T13:03:12Z,"Keyphrase: ""Vulnerability to unethical content generation"""
arxiv2024,Fine-Grained Detoxification via Instance-Level Prefixes for Large Language Models,Yes.,4,"""these models occasionally produce toxic content such as insults, threats, and profanity in response to certain prompts, thereby constraining their practical utility.""",2024,2024-02-23T09:04:48Z,"Keyphrase: ""Production of toxic content"""
arxiv2024,A First Look at GPT Apps: Landscape and Vulnerability,Yes.,4,"""LLMs' susceptibility to attacks raises concerns over safety and plagiarism.""",2024,2024-02-23T05:30:32Z,"Keyphrase: ""Susceptibility to attacks"""
arxiv2024,Studying LLM Performance on Closed- and Open-source Data,Yes.,5,"""These models are extremely data-hungry,"" ""do LLMs work as well as they do for OSS code? If not, what are the differences? When performance differs, what are the possible causes, and are there work-arounds?"" and ""We find that performance for C# changes little from",2024,2024-02-23T05:17:28Z,"Keyphrase: ""High data dependency"""
arxiv2024,AttributionBench: How Hard is Automatic Attribution Evaluation?,Yes.,5,"""our findings show that even a fine-tuned GPT-3.5 only achieves around 80% macro-F1 under a binary classification formulation. A detailed analysis of more than 300 error cases indicates that a majority of failures stem from the model's inability to process nuanced information, and the discrepancy between the information the model has access to and that human annotators do.""",2024,2024-02-23T04:23:33Z,"Keyphrase: ""Limited nuanced information processing"""
arxiv2024,Gotcha! Don't trick me with unanswerable questions! Self-aligning Large Language Models for Responding to Unknown Questions,Yes.,4,"""they often display a considerable level of overconfidence even when the question does not have a definitive answer"" and ""avoid providing hallucinated answers to these unknown questions.""",2024,2024-02-23T02:24:36Z,"Keyphrase: ""Overconfidence and Hallucination"""
arxiv2024,Fine-tuning Large Language Models for Domain-specific Machine Translation,Yes.,5,"""Current LLM-based MT systems still face several challenges. First, for LLMs with in-context learning, their effectiveness is highly sensitive to input translation examples, and processing them can increase inference costs. They often require extra post-processing due to over-generation. Second, LLMs with fine-tuning on domain",2024,2024-02-23T02:24:15Z,"Keyphrase: ""Incontext learning challenges and domain finetuning"""
arxiv2024,ToMBench: Benchmarking Theory of Mind in Large Language Models,Yes.,5,"""We find that even the most advanced LLMs like GPT-4 lag behind human performance by over 10% points, indicating that LLMs have not achieved a human-level theory of mind yet.""",2024,2024-02-23T02:05:46Z,"Keyphrase: ""Lag behind human performance"""
arxiv2024,KIEval: A Knowledge-grounded Interactive Evaluation Framework for Large Language Models,Yes.,5,"""Automatic evaluation methods for large language models (LLMs) are hindered by data contamination, leading to inflated assessments of their effectiveness."" and ""We also reveal that data contamination brings no contribution or even negative effect to models' real-world applicability and understanding, and existing contamination detection methods for LLMs can only identify contamination in pre-training but not during supervised fine-tuning.""",2024,2024-02-23T01:30:39Z,"Keyphrase: ""Data contamination hindrance"""
arxiv2024,Unintended Impacts of LLM Alignment on Global Representation,Yes.,4,"""We explore how alignment impacts performance along three axes of global representation",2024,2024-02-22T23:31:22Z,"Keyphrase: ""Limited global representation"""
arxiv2024,Mirror: A Multiple-perspective Self-Reflection Method for Knowledge-rich Reasoning,Yes.,4,"""recent studies have observed their struggles with knowledge-rich problems without access to external resources. In addition to the inefficiency of LLMs in self-assessment, we also observe that LLMs struggle to revisit their predictions despite receiving explicit negative feedback.""",2024,2024-02-22T20:57:17Z,"Keyphrase: ""Limited knowledge retention"""
arxiv2024,RelayAttention for Efficient Large Language Model Serving with Long System Prompts,Yes.,5,"""However, the long system prompt causes throughput/latency bottlenecks as the cost of generating the next token grows w.r.t. the sequence length.""",2024,2024-02-22T18:58:28Z,"Keyphrase: ""Throughput and latency bottleneck"""
arxiv2024,Identifying Multiple Personalities in Large Language Models with External Evaluation,Yes.,4,"""Yet many critiques question the applicability and reliability of these self-assessment tests when applied to LLMs."" and ""This shows that LLMs can exhibit different personalities based on different scenarios, thus highlighting a fundamental difference between personality in LLMs and humans.""",2024,2024-02-22T18:57:20Z,"Keyphrase: ""Inconsistent personality representation"""
arxiv2024,MT-Bench-101: A Fine-Grained Benchmark for Evaluating Large Language Models in Multi-Turn Dialogues,Yes.,4,"""comprehensively evaluating the dialogue abilities of LLMs remains a challenge"" and ""neither utilizing common alignment techniques nor chat-specific designs has led to obvious enhancements in the multi-turn abilities of LLMs.""",2024,2024-02-22T18:21:59Z,"Keyphrase: ""Challenges in dialogue evaluation"""
arxiv2024,Stop Reasoning! When Multimodal LLMs with Chain-of-Thought Reasoning Meets Adversarial Images,Yes.,5,"""they are still vulnerable to adversarial images"" and ""lack of study regarding MLLMs' adversarial robustness with CoT"" and ""finding that CoT marginally improves adversarial robustness against existing attack methods"" and ""introduce a novel",2024,2024-02-22T17:36:34Z,"Keyphrase: ""Vulnerability to adversarial attacks"""
arxiv2024,Chain-of-Thought Unfaithfulness as Disguised Accuracy,Yes.,5,"""We discover that simply changing the order of answer choices in the prompt can reduce the metric by 73 percentage points. The faithfulness metric is also highly correlated ($R^2$ = 0.91) with accuracy, raising doubts about its validity as a construct for evaluating faithfulness.""",2024,2024-02-22T17:23:53Z,"Keyphrase: ""Sensitivity to prompt manipulation"""
arxiv2024,UFO: a Unified and Flexible Framework for Evaluating Factuality of Large Language Models,Yes.,5,"""Large language models (LLMs) may generate text that lacks consistency with human knowledge, leading to factual inaccuracies or hallucination."" and ""Existing research for evaluating the factuality of LLMs involves extracting fact claims using an LLM and verifying them against a predefined fact source. However, these evaluation metrics are task-specific, and not scalable, and the substitutability of fact sources",2024,2024-02-22T16:45:32Z,"Keyphrase: ""Factual inaccuracy and hallucination"""
arxiv2024,Visual Hallucinations of Multi-modal Large Language Models,Yes.,5,"""Existing studies find VH instances only in existing image datasets, which results in biased understanding of MLLMs' performance under VH due to limited diversity of such VH instances."" and ""We find that existing MLLMs such as GPT-4V, LLaVA-1.5, and MiniGPT-v2 halluc",2024,2024-02-22T16:40:33Z,"Keyphrase: ""Limited diversity in training data"""
arxiv2024,ConceptMath: A Bilingual Concept-wise Benchmark for Measuring Mathematical Reasoning of Large Language Models,Yes.,5,"""we observe existing LLMs, though achieving high average accuracies on traditional benchmarks, exhibit significant performance variations across different math concepts and may even fail catastrophically on the most basic ones.""",2024,2024-02-22T16:06:49Z,"Keyphrase: ""Performance variation across concepts"""
arxiv2024,"""My Answer is C"": First-Token Probabilities Do Not Match Text Answers in Instruction-Tuned Language Models",Yes.,5,"""Our results show that the two approaches are severely misaligned on all dimensions, reaching mismatch rates over 60%.""",2024,2024-02-22T12:47:33Z,"Keyphrase: ""Dimension misalignment"""
arxiv2024,Is ChatGPT the Future of Causal Text Mining? A Comprehensive Evaluation and Analysis,Yes.,5,"""Finally, our analysis outlines the limitations and future challenges in employing ChatGPT for causal text mining. Specifically, our analysis reveals that ChatGPT serves as a good starting point for various datasets. However, when equipped with a sufficient amount of training data, previous models still surpass ChatGPT's performance",2024,2024-02-22T12:19:04Z,"Keyphrase: ""Limited performance without extensive training data"""
arxiv2024,COBIAS: Contextual Reliability in Bias Assessment,Yes.,4,"""Large Language Models (LLMs) are trained on inherently biased data"" and ""highlighting a critical need for contextual exploration.""",2024,2024-02-22T10:46:11Z,"Keyphrase: ""Inherent bias from training data"""
arxiv2024,Enhancing Temporal Knowledge Graph Forecasting with Large Language Models via Chain-of-History Reasoning,Yes.,5,"""However, the existing LLM-based model exhibits three shortcomings",2024,2024-02-22T08:51:39Z,"Keyphrase: ""Multiple shortcomings"""
arxiv2024,Understanding and Patching Compositional Reasoning in LLMs,Yes.,5,"""LLMs have marked a revolutionary shift, yet they falter when faced with compositional reasoning tasks.""",2024,2024-02-22T06:47:56Z,"Keyphrase: ""Falter in compositional reasoning"""
arxiv2024,Mitigating Biases of Large Language Models in Stance Detection with Calibration,Yes.,4,"""LLMs may generate biased stances due to spurious sentiment-stance correlation and preference towards certain individuals and topics, thus harming their performance.""",2024,2024-02-22T05:17:49Z,"Keyphrase: ""Biased stance due to sentiment-topic correlation"""
arxiv2024,Can Language Models Act as Knowledge Bases at Scale?,Yes.,5,"""However, the efficacy of these models in memorizing and reasoning among large-scale structured knowledge, especially world knowledge that explicitly covers abundant factual information remains questionable.""",2024,2024-02-22T04:20:14Z,"Keyphrase: ""Limited factual coverage"""
arxiv2024,Qsnail: A Questionnaire Dataset for Sequential Question Generation,Yes.,5,"""Large language models, while more closely related to the research topic and intents, exhibit significant limitations in terms of diversity and specificity. Despite enhancements through the chain-of-thought prompt and finetuning, questionnaires generated by language models still fall short of human-written questionnaires.""",2024,2024-02-22T04:14:10Z,"Keyphrase: ""Lack of diversity and specificity"""
arxiv2024,Eagle: Ethical Dataset Given from Real Interactions,Yes.,5,"""Recent studies have demonstrated that large language models (LLMs) have ethical-related problems such as social biases, lack of moral reasoning, and generation of offensive content.""",2024,2024-02-22T03:46:02Z,"Keyphrase: ""Ethical and social bias"""
arxiv2024,Towards Understanding Counseling Conversations: Domain Knowledge and Large Language Models,Yes.,5,"""state-of-the-art language models such as Transformer-based models and GPT models fail to predict the conversation outcome.""",2024,2024-02-22T01:02:37Z,"Keyphrase: ""Limited conversational prediction"""
arxiv2024,Learning to Reduce: Optimal Representations of Structured Data in Prompting Large Language Models,Yes.,5,"""existing work shows that it is challenging for LLMs to integrate structured data (e.g. KG, tables, DBs) into their prompts; LLMs need to either understand long text data or select the most relevant evidence prior to inference, and both approaches are not trivial.""",2024,2024-02-22T00:41:23Z,"Keyphrase: ""Challenges in integrating structured data"""
arxiv2024,Do Machines and Humans Focus on Similar Code? Exploring Explainability of Large Language Models in Code Summarization,Yes.,5,"""Recent language models have demonstrated proficiency in summarizing source code. However, as in many other domains of machine learning, language models of code lack sufficient explainability."" and ""Our study highlights an inability to align human focus with SHAP-based model focus measures. This result calls for future investigation of multiple open questions for explainable language models for code summarization and software engineering tasks in general",2024,2024-02-22T00:01:02Z,"Keyphrase: ""Lack of explainability"""
arxiv2024,MM-Soc: Benchmarking Multimodal Large Language Models in Social Media Platforms,Yes.,4,"""MLLMs have emerged as a promising solution to address these challenges, yet struggle with accurately interpreting human emotions and complex contents like misinformation."" and ""Our analysis reveals that, in a zero-shot setting, various types of MLLMs generally exhibit difficulties in handling social media tasks.""",2024,2024-02-21T22:27:40Z,"Keyphrase: ""Difficulty handling human emotion and complex content"""
arxiv2024,Coercing LLMs to do and reveal (almost) anything,Yes.,5,"""adversarial attacks on large language models (LLMs) can 'jailbreak' the model into making harmful statements"" and ""we discuss, categorize and systematize attacks that coerce varied unintended behaviors, such as misdirection, model control, denial-of-service, or data extraction.""",2024,2024-02-21T18:59:13Z,"Keyphrase: ""Vulnerability to adversarial attacks"""
arxiv2024,Is LLM-as-a-Judge Robust? Investigating Universal Adversarial Attacks on Zero-shot LLM Assessment,Yes.,5,"""no existing work has analyzed the vulnerability of judge-LLMs against adversaries attempting to manipulate outputs,"" ""both LLM-scoring and pairwise LLM-comparative assessment are vulnerable to simple concatenation attacks,"" and ""Our findings raise significant concerns on the reliability of LLMs-as-a-judge methods, and underscore the importance of addressing vulnerabilities in LLM assessment methods before",2024,2024-02-21T18:55:20Z,"Keyphrase: ""Vulnerability to manipulation"""
arxiv2024,OlympiadBench: A Challenging Benchmark for Promoting AGI with Olympiad-Level Bilingual Multimodal Scientific Problems,Yes.,5,"""Our analysis orienting GPT-4V points out prevalent issues with hallucinations, knowledge omissions, and logical fallacies.""",2024,2024-02-21T18:49:26Z,"Keyphrase: ""Hallucination and knowledge omission"""
arxiv2024,Can Watermarks Survive Translation? On the Cross-lingual Consistency of Text Watermark for Large Language Models,Yes.,5,"""Preliminary empirical results from two LLMs and three watermarking methods reveal that current text watermarking technologies lack consistency when texts are translated into various languages.""",2024,2024-02-21T18:48:38Z,"Keyphrase: ""Inconsistent text watermarking"""
