Source,Title,Talks about LLMs,Rate,Evidence,Year,Month,Keyphrase,Combined_Text,Topic
aacl2022,VLStereoSet: A Study of Stereotypical Bias in Pre-trained Vision-Language Models,Yes.,4,experiment six representative pretraine visionlanguage demonstrate stereotypical bias clearly exist across four bias category gender bias slightly evident,2022,November,"Keyphrase: ""Stereotypical biases in vision-language models""","experiment six representative pretraine visionlanguage demonstrate stereotypical bias clearly exist across four bias category gender bias slightly evident Keyphrase: ""Stereotypical biases in vision-language models""",2
aacl2022,Demographic-Aware Language Model Fine-tuning as a Bias Mitigation Technique,Yes.,4,bertlike lm expose unstructured dataset know learn sometimes even amplify bias present,2022,November,"Keyphrase: ""Bias amplification""","bertlike lm expose unstructured dataset know learn sometimes even amplify bias present Keyphrase: ""Bias amplification""",2
emnlp2022,RankGen: Improving Text Generation with Large Ranking Models,Yes.,5,modern often assign high probability sequence repetitive incoherent irrelevant prefix modelgenerate text also contain artifact,2022,December,"Keyphrase: ""Repetitive and incoherent output""","modern often assign high probability sequence repetitive incoherent irrelevant prefix modelgenerated text also contain artifact Keyphrase: ""Repetitive and incoherent output""",0
emnlp2022,EvEntS ReaLM: Event Reasoning of Entity States via Language Models,Yes.,5,nominally expose procedural object interact yet benchmarke show fail reason world,2022,December,"Keyphrase: ""Lack of real-world performance""","nominally expose procedural object interact yet benchmarking show fail reason world Keyphrase: ""Lack of real-world performance""",1
emnlp2022,Rich Knowledge Sources Bring Complex Knowledge Conflicts: Recalibrating Models to Reflect Conflicting Evidence,Yes.,5,simulate conflict ie parametric suggest one different passage suggest different examine behavior contradiction among source affect confidence marginally,2022,December,"Keyphrase: ""Inconsistent behavior""","simulate conflict ie parametric suggest one different passage suggest different examine behavior contradiction among source affect confidence marginally Keyphrase: ""Inconsistent behavior""",3
emnlp2022,SafeText: A Benchmark for Exploring Physical Safety in Language Models,Yes.,5,find stateoftheart susceptible generation unsafe text difficulty reject unsafe advice,2022,December,"Keyphrase: ""Susceptibility to generating unsafe text""","find stateoftheart susceptible generation unsafe text difficulty reject unsafe advice Keyphrase: ""Susceptibility to generating unsafe text""",4
emnlp2022,BERTScore is Unfair: On Social Bias in Language Model-Based Metrics for Text Generation,Yes.,4,however demonstrate plm encode range stereotypical societal bias lead concern fairness plm metric demonstrate popular plmbase metric exhibit significantly high social bias traditional metric sensitive attribute,2022,December,"Keyphrase: ""Societal bias encoding""","however demonstrate plm encode range stereotypical societal bias lead concern fairness plm metric demonstrate popular plmbase metric exhibit significantly high social bias traditional metric   sensitive attribute Keyphrase: ""Societal bias encoding""",2
emnlp2022,Neural Theory-of-Mind? On the Limits of Social Intelligence in Large LMs,Yes.,5,show one todayãs brown et al lack kind social intelligence outofthe box show struggle substantially theory mind,2022,December,"Keyphrase: ""Lack of social intelligence""","show one todayÃ¢s gpt brown et al   lack kind social intelligence outofthe box show struggle substantially theory mind Keyphrase: ""Lack of social intelligence""",6
emnlp2022,Improving Temporal Generalization of Pre-trained Language Models with Lexical Semantic Change,Yes.,5,neural scale suffer poor temporal generalization capability pretraine static past year bad time emerge,2022,December,"Keyphrase: ""Limited temporal generalization""","neural scale suffer poor temporal generalization capability pretraine static past year bad time emerge Keyphrase: ""Limited temporal generalization""",3
emnlp2022,Perturbation Augmentation for Fairer NLP,Yes.,4,unwanted often harmful social bias become ever salient nlp research affect dataset lastly discuss outstanding question good evaluate unfairness,2022,December,"Keyphrase: ""Unwanted social bias""","unwanted often harmful social bias become ever salient nlp research affect dataset lastly discuss outstanding question good evaluate unfairness Keyphrase: ""Unwanted social bias""",2
