Source,Title,Talks about LLMs,Rate,Evidence,Year,Month,Keyphrase,Topic
aacl2022,VLStereoSet: A Study of Stereotypical Bias in Pre-trained Vision-Language Models,Yes.,4,experiment six representative pretraine visionlanguage demonstrate stereotypical bias clearly exist across four bias category gender bias slightly evident stereotypical bias visionlanguage,2022,November,"Keyphrase: ""Stereotypical biases in vision-language models""",1
aacl2022,Demographic-Aware Language Model Fine-tuning as a Bias Mitigation Technique,Yes.,4,bertlike lm expose unstructured dataset know learn sometimes even amplify bias present bias amplification,2022,November,"Keyphrase: ""Bias amplification""",1
emnlp2022,RankGen: Improving Text Generation with Large Ranking Models,Yes.,5,modern often assign high probability sequence repetitive incoherent irrelevant prefix modelgenerate text also contain artifact repetitive incoherent,2022,December,"Keyphrase: ""Repetitive and incoherent output""",4
emnlp2022,An Empirical Analysis of Memorization in Fine-tuned Autoregressive Language Models,Yes.,5,show present privacy risk memorization training empirically study memorization finetune use membership inference extraction attack show susceptibility attack different privacy risk susceptibility attack,2022,December,"Keyphrase: ""Privacy risks and susceptibility to attacks""",1
emnlp2022,EvEntS ReaLM: Event Reasoning of Entity States via Language Models,Yes.,5,nominally expose procedural object interact yet benchmarke show fail reason world lack realworld performance,2022,December,"Keyphrase: ""Lack of real-world performance""",0
emnlp2022,Rich Knowledge Sources Bring Complex Knowledge Conflicts: Recalibrating Models to Reflect Conflicting Evidence,Yes.,5,simulate conflict ie parametric suggest one different passage suggest different examine behavior contradiction among source affect confidence marginally inconsistent behavior,2022,December,"Keyphrase: ""Inconsistent behavior""",0
emnlp2022,SafeText: A Benchmark for Exploring Physical Safety in Language Models,Yes.,5,find stateoftheart susceptible generation unsafe text difficulty reject unsafe advice susceptibility unsafe text,2022,December,"Keyphrase: ""Susceptibility to generating unsafe text""",1
emnlp2022,BERTScore is Unfair: On Social Bias in Language Model-Based Metrics for Text Generation,Yes.,4,however demonstrate plm encode range stereotypical societal bias lead concern fairness plm metric demonstrate popular plmbase metric exhibit significantly high social bias traditional metric sensitive attribute societal bias encoding,2022,December,"Keyphrase: ""Societal bias encoding""",1
emnlp2022,Neural Theory-of-Mind? On the Limits of Social Intelligence in Large LMs,Yes.,5,show one todayãs brown et al lack kind social intelligence outofthe box show struggle substantially theory mind lack social intelligence,2022,December,"Keyphrase: ""Lack of social intelligence""",0
emnlp2022,Improving Temporal Generalization of Pre-trained Language Models with Lexical Semantic Change,Yes.,5,neural scale suffer poor temporal generalization capability pretraine static past year bad time emerge limited temporal generalization,2022,December,"Keyphrase: ""Limited temporal generalization""",0
emnlp2022,Perturbation Augmentation for Fairer NLP,Yes.,4,unwanted often harmful social bias become ever salient nlp research affect dataset lastly discuss outstanding question good evaluate unfairness unwanted social bias,2022,December,"Keyphrase: ""Unwanted social bias""",1
emnlp2022,"The better your Syntax, the better your Semantics? Probing Pretrained Language Models for the English Comparative Correlative",Yes.,5,show three investigate plm able recognise structure cc fail use mean humanlike performance plm many nlp allege indicate plm still suffer substantial shortcoming central domain linguistic limit linguistic understanding,2022,December,"Keyphrase: ""Limited linguistic understanding""",0
emnlp2022,LittleBird: Efficient Faster & Longer Transformer for Question Answering,Yes.,5,limitation deal long due attention mechanism limit handling long dependency,2022,December,"Keyphrase: ""Limited handling of long dependencies""",0
emnlp2022,Mutual Information Alleviates Hallucinations in Abstractive Summarization,Yes.,5,still exhibit tendency hallucinate ie content support source document content hallucination,2022,December,"Keyphrase: ""Content hallucination""",2
emnlp2022,Evaluating the Impact of Model Scale for Compositional Generalization in Semantic Parsing,Yes.,5,despite strong performance many pretraine show struggle outofdistribution compositional generalization overall study highlight limitation current technique effectively leverage scale compositional generalization analysis also suggest promise direction future work struggle outofdistribution compositional generalization,2022,December,"Keyphrase: ""Struggles with out-of-distribution compositional generalization""",0
emnlp2022,A Systematic Investigation of Commonsense Knowledge in Large Language Models,Yes.,5,find highlight limitation pretraine lm acquire commonsense without taskspecific supervision furthermore use fewshot evaluation insufficient achieve humanlevel commonsense performance limited acquisition commonsense,2022,December,"Keyphrase: ""Limited acquisition of commonsense""",0
emnlp2022,SEAL: Interactive Tool for Systematic Error Analysis and Labeling,Yes.,5,however many time systematically fail tail rare group obvious aggregate evaluation failure address rare group tail issue,2022,December,"Keyphrase: ""Failure to address rare group tail issues""",0
acl2022,Auto-Debias: Debiasing Masked Language Models with Automated Biased Prompts,Yes.,4,humanlike bias undesire social stereotype exist pretraine give wide adoption realworld application mitigate bias become emerge important humanlike bias social stereotype,2022,May,"Keyphrase: ""Humanlike bias and social stereotypes""",1
acl2022,Are Prompt-based Models Clueless?,Yes.,5,taskspecific head require lot training make susceptible learn exploit datasetspecific superficial cue generalize dataset analyze fewshot promptbase mnli snli han copa reveal promptbase also exploit superficial cue well instance superficial cue overreliance superficial cue,2022,May,"Keyphrase: ""Overreliance on superficial cues""",2
acl2022,TruthfulQA: Measuring How Models Mimic Human Falsehoods,Yes.,5,many false mimic popular misconception potential deceive human generally least truthful deceptive false information,2022,May,"Keyphrase: ""Deceptive false information""",2
acl2022,Upstream Mitigation Is Not All You Need: Testing the Bias Transfer Hypothesis in Pre-Trained Language Models,Yes.,4,investigate bias transfer hypothesis bias transfer,2022,May,"Keyphrase: ""Bias transfer""",1
acl2022,A Token-level Reference-free Hallucination Detection Benchmark for Free-form Text Generation,Yes.,5,pretraine generative like often suffer hallucinate nonexistent incorrect content undermine potential merit real application hallucination nonexistent content,2022,May,"Keyphrase: ""Hallucination of nonexistent content""",2
acl2022,Is GPT-3 Text Indistinguishable from Human Text? Scarecrow: A Framework for Scrutinizing Machine Text,Yes.,4,error machine generation become ever subtle hard spot ten error category scarecrowãsuch redundancy commonsense error incoherence subtle error incoherence,2022,May,"Keyphrase: ""Subtle errors and incoherence""",4
acl2022,Exploiting Language Model Prompts Using Similarity Measures: A Case Study on the Word-in-Context Task,Yes.,5,exist promptbase technique fail semantic distinction wordincontext wic dataset specifically none exist fewshot approach include incontext learning attain performance meaningfully different random baseline weak semantic understanding,2022,May,"Keyphrase: ""Weak semantic understanding""",0
acl2022,Softmax Bottleneck Makes Language Models Unable to Represent Multi-mode Word Distributions,Yes.,5,however discover single hidden state produce probability distribution regardless lm size training size single hidden state embed close embed possible next word simultaneously interfere word embed interference word embedding,2022,May,"Keyphrase: ""Interference in word embeddings""",0
acl2022,Coherence boosting: When your pretrained language model is not paying enough attention,Yes.,5,demonstrate insufficiently learn effect distant word nexttoken prediction limit learning distant word effect,2022,May,"Keyphrase: ""Limited learning of distant word effects""",0
acl2022,Data Contamination: From Memorization to Exploitation,Yes.,5,clear extent exploit contaminate downstream highlight importance analyze massive webscale dataset verify progress nlp obtain well understand well exploitation limit dataset exploitation,2022,May,"Keyphrase: ""Limited dataset exploitation""",4
acl2022,Kronecker Decomposition for GPT Compression,Yes.,5,despite superior performance overparameterize nature prohibitive deploy device limit computational power memory overparameterization computational constraint,2022,May,"Keyphrase: ""Overparameterization and computational constraints""",3
naacl2022,Provably Confidential Language Modelling,Yes.,5,show memorize privacy information social security number training privacy information memorization,2022,July,"Keyphrase: ""Privacy information memorization""",1
naacl2022,"When a sentence does not introduce a discourse entity, Transformer-based models still sometimes refer to it",Yes.,5,find certain extent sensitive interaction investigate challenge presence multiple nps behavior systematic suggest even scale fully acquire basic entity track ability limited entity tracking ability,2022,July,"Keyphrase: ""Limited entity tracking ability""",0
naacl2022,Measuring Fairness with Biased Rulers: A Comparative Study on Bias Metrics for Pre-trained Language Models,Yes.,4,indicate fairness bias evaluation remain challenge contextualize among reason choice remain subjective subjective fairness evaluation,2022,July,"Keyphrase: ""Subjective fairness evaluation""",1
naacl2022,Curriculum: A Broad-Coverage Benchmark for Linguistic Phenomena in Natural Language Understanding,Yes.,5,current evaluation show significant shortcoming fail effectively map aspect understanding remain challenge exist experiment provide insight limitation exist benchmark dataset stateoftheart limited aspect understand,2022,July,"Keyphrase: ""Limited aspect understanding""",0
naacl2022,Exposing the Limits of Video-Text Models through Contrast Sets,Yes.,5,see performance suffer across erase gap recent clipbase vs early performance degradation evolve,2022,July,"Keyphrase: ""Performance degradation with evolving data""",0
