Title,LMs,Limitations of LMs,Evidence
Evaluating Modular Dialogue System for Form Filling Using Large Language Models,Yes.,3,"The paper mentions the typical constraints of using LLMs, specifically context limitations. The study tests the performance of LLMs on various forms, which may vary in context, and the findings reveal that the modular setup can help improve performance by handling these context limitations."
Improving Cross-Domain Low-Resource Text Generation through LLM Post-Editing: A Programmer-Interpreter Approach,Yes.,5,The paper acknowledges the limitations of LLMs in generalizing across domains and their inability to effectively edit their output without relying on smaller language models or updating their parameters. It proposes a method to address these limitations by using a neural programmer-interpreter approach.
Re3val: Reinforced and Reranked Generative Retrieval,Yes.,4,"The paper identifies limitations of generative retrieval models, which are a type of LLMs, by stating that they do not account for contextual information and can't be tuned for the downstream readers due to non-differentiable decoding operations. The paper proposes a solution, Re3val, which is also an LLM, to address these limitations by using generative reranking and reinforcement learning."
Reward Engineering for Generating Semi-structured Explanation,Yes.,4,"The paper mentions ""despite the recent improvements in generative capabilities of language models, producing structured explanations to verify a model's true reasoning capabilities remains a challenge, particularly for not-so-large LMs."" The paper also mentions ""producing structured explanations to verify a model's true reasoning capabilities remains a challenge for not-so-large LMs"" and ""producing structured explanations is a challenge for LMs, particularly for not-so-large models."" The paper also mentions ""FLAN-T5-XXL"" which is a specific LM. Therefore, the paper discusses limitations of LMs, particularly their inability to generate structured explanations and their limitations in size."
Are Large Language Model-based Evaluators the Solution to Scaling Up Multilingual Evaluation?,Yes.,3,"The study reveals a bias in LLM-based evaluators towards higher scores, indicating a limitation in their ability to accurately evaluate LLM performance in diverse languages."
Why Generate When You Can Discriminate? A Novel Technique for Text Classification using Language Models,Yes.,5,"""We also discuss some limitations of our approach, including the lack of ability to handle long contexts and the need for large amounts of data and computational resources to train these models."""
Evaluating Large Language Models Trained on Code,Yes.,4,"The paper states that ""Careful investigation of our model reveals its limitations, including difficulty with docstrings describing long chains of operations and with binding operations to variables."""
Fine-tuning CLIP Text Encoders with Two-step Paraphrasing,Yes.,5,"The paper explicitly mentions the limitations of current CLIP models in handling linguistic variations, specifically paraphrases, and goes on to fine-tune a language model to improve performance on paraphrased queries. The language model used in this study is not explicitly stated, but it is described as ""large,"" indicating that it is likely a pre-trained transformer-based model. The limitations of language models in general, such as generating incorrect or biased outputs, are not directly addressed in this study."
ICE-Score: Instructing Large Language Models to Evaluate Code,Yes.,4,"The paper discusses the limitations of using large language models (LLMs) for code intelligence tasks, specifically their weak correlations with human judgment and the need for human involvement due to the complexity of programming concepts. The paper also mentions the challenges of utilizing human-written test suites for functional correctness evaluation in domains with low resources."
Transformer-specific Interpretability,Yes.,3,"The paper discusses the limitations of interpretability methods for Transformer-based language models, which are a type of large language model. It mentions that model-agnostic methods, which are commonly used for interpreting other types of neural networks, may not be effective for Transformer-based models due to their unique architecture. The paper also discusses specific interpretability methods that have been developed for Transformer-based models and their advantages and limitations."
