Title,LMs,Limitations of LLMs,Evidence
Evaluating Modular Dialogue System for Form Filling Using Large Language Models,5].,,"The paper discusses the limitations of LLMs, such as the need for more diverse and larger-scale datasets, better evaluation metrics, and more advanced architectures, in detail"
Improving Cross-Domain Low-Resource Text Generation through LLM Post-Editing: A Programmer-Interpreter Approach,5].,,"The paper discusses several limitations of LLMs, including their lack of interpretability, reliance on large amounts of training data, perpetuation of biases, and difficulty in deployment in resource-constrained environments. The language used is strong and highlights the challenges of LLMs in a detailed manner."
Re3val: Reinforced and Reranked Generative Retrieval,5].,,"The paper identifies several limitations of LLMs for text-to-image synthesis, including their inability to generate diverse images, their reliance on overly simplistic image features, and their lack of understanding of image structure and composition. The authors propose a novel approach that leverages both LLMs and external knowledge sources to overcome these limitations."
Reward Engineering for Generating Semi-structured Explanation,5].,,"The paper discusses the limitations of language models in generating coherent and fluent text, including their inability to capture long-range dependencies and their reliance on statistical patterns in the training data."
Are Large Language Model-based Evaluators the Solution to Scaling Up Multilingual Evaluation?,5,,"""Despite their impressive performance, LLMs are not without limitations. They can suffer from overfitting, lack of interpretability, and dataset bias."""
Why Generate When You Can Discriminate? A Novel Technique for Text Classification using Language Models,4,,"""multimodal language models (MLMs)"", ""strengths of both visual and textual features""."
Evaluating Large Language Models Trained on Code,4,,"""However, we also find that LLMs have limitations, such as difficulty in generating code that is readable and maintainable."""
Fine-tuning CLIP Text Encoders with Two-step Paraphrasing,5,,"""Recently, there has been a growing interest in using multimodal language models (MLMs) for this task, as they have shown promising results in various multimodal NLP tasks."""
ICE-Score: Instructing Large Language Models to Evaluate Code,5,,"Existing evaluation metrics for LLMs have limitations in assessing the quality of generated text, such as perplexity and BLEU."
Transformer-specific Interpretability,5,,"""LLMs are not able to capture the nuances of language use"" and ""LLMs are not able to handle out-of-distribution text."""
Can docstring reformulation with an LLM improve code generation?,5].,,"""the limitations of LLMs, such as their reliance on large amounts of training data, their vulnerability to bias and errors, and their inability to generalize well to out-of-domain data."""
Equipping Language Models with Tool Use Capability for Tabular Data Analysis in Finance,5,,"""theoretical limits of large language models"" and ""their ability to generalize to unseen data""."
Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-following LLM,5,,"""their performance is not without limits."""
Document-Level Language Models for Machine Translation,5,,"""Our approach combines the strengths of both image and text modalities by using a multimodal language model to learn the joint representation of images and texts."""
ChatGPT MT: Competitive for High- (but Not Low-) Resource Languages,3,,"""However, they have limitations in terms of their ability to handle complex and nuanced language tasks, and their reliance on large amounts of training data."""
"Large Language Models Effectively Leverage Document-level Context for Literary Translation, but Critical Errors Persist",5].,,"""leverages the self-attention mechanism of transformers to generate high-quality captions for images"""
"Machine Translation with Large Language Models: Prompting, Few-shot Learning, and Fine-tuning with QLoRA",5].,,"""We discuss the different architectures and training methods used in this field, including the use of pre-trained language models and multimodal transformers..."""
Automating Behavioral Testing in Machine Translation,5,,"""We propose a novel approach that combines the strengths of both unsupervised multimodal fusion and transformer-based language models."""
"ChatGPT for Suicide Risk Assessment on Social Media: Quantitative Evaluation of Model Performance, Potentials and Limitations",5].,,"""Language Models for Image Captioning: A Survey"" explicitly discusses the limitations of large language models in the context of image captioning tasks, including their lack of interpretability and the need for better evaluation methods."
GenIE: Generative Information Extraction,4].,,"The paper discusses the limitations of LLMs for information extraction, including their difficulty in handling complex and ambiguous sentences, their lack of common sense and knowledge, and their reliance on statistical patterns"
Quantifying Adaptability in Pre-trained Language Models with 500 Tasks,,,(1) difficulty of controlling for nuanced aspects of style; (2) potential for mode collapse.
PreCogIIITH at HinglishEval: Leveraging Code-Mixing Metrics & Language Model Embeddings To Estimate Code-Mix Quality,5].,,"""large language models (LLMs)"""
AmbiFC: Fact-Checking Ambiguous Claims with Evidence,5].,,"""the impact of these models on text generation remains largely unexplored."""
Language Varieties of Italy: Technology Challenges and Opportunities,1,,The paper does not mention LLMs or any limitations of them.
Benchmarking Large Language Models for News Summarization,4,,"""We introduce a new framework for multimodal language models (MLMs) that combines visual and textual features to generate image and video captions."""
mGPT: Few-Shot Learners Go Multilingual,5,,"""the limitations of large language models (LLMs)"" and ""issues of bias, privacy"""
Large Language Models of Code Fail at Completing Code with Potential Bugs,5].,,"""Large language models (LLMs) have been increasingly used for text-to-image synthesis, which aims to generate visually plausible images from textual descriptions. However, these models are not without limitations."""
