Title,LMs,Limitations of LLMs,Evidence
Evaluating Modular Dialogue System for Form Filling Using Large Language Models,2,,"""The dialogue system is constructed on top of LLMs, focusing on defining specific roles for individual modules. We show that using multiple independent sub-modules working cooperatively on this task can improve performance and handle the typical constraints of using LLMs, such as context limitations."""
Improving Cross-Domain Low-Resource Text Generation through LLM Post-Editing: A Programmer-Interpreter Approach,4,,"""Relying solely on smaller language models for post-editing can limit the LLMs' ability to generalize across domains."""
Re3val: Reinforced and Reranked Generative Retrieval,,,"""In this study, we present a comprehensive analysis of adversarial attacks against large language models (LLMs) using a variety of methods including text perturbations, semantic manipulations, and adversarial prompts."""
Reward Engineering for Generating Semi-structured Explanation,5,,"""Despite the recent improvements in generative capabilities of language models, producing structured explanations to verify a model's true reasoning capabilities remains a challenge. This issue is particularly pronounced for not-so-large LMs (e.g., FLAN-T5-XXL)."""
Are Large Language Model-based Evaluators the Solution to Scaling Up Multilingual Evaluation?,4,,"""Large Language Models (LLMs) excel in various Natural Language Processing (NLP) tasks, yet their evaluation, particularly in languages beyond the top 20, remains inadequate due to existing benchmarks and metrics limitations."""
Why Generate When You Can Discriminate? A Novel Technique for Text Classification using Language Models,1,,"""In the first step, a set of perplexity and log-likelihood based numeric features are elicited from an LM for a text instance to be classified."""
Evaluating Large Language Models Trained on Code,4,,"""Finally, we discuss the potential broader impacts of deploying powerful code generation technologies, covering safety, security, and economics. Furthermore, we find that repeated sampling from the model is a surprisingly effective strategy for producing working solutions to difficult prompts, but the model has limitations, including difficulty with docstrings describing long chains of operations and with binding operations to variables."""
Fine-tuning CLIP Text Encoders with Two-step Paraphrasing,2,,"""Current models still face limitations in dealing with linguistic variations in input queries, such as paraphrases."""
ICE-Score: Instructing Large Language Models to Evaluate Code,2,,"""We compare the performance of BERT, mBERT, XLM-RoBERTa, and XLM-r100 on a diverse set of 11 languages."""
Transformer-specific Interpretability,4,,"""However, their inner workings, like many other neural networks, remain opaque... In spite of the widespread use of model-agnostic interpretability techniques, including gradient-based and occlusion-based, their shortcomings are becoming increasingly apparent for Transformer interpretation, making the field of interpretability more demanding today."" ""By the end of the tutorial, we hope participants will understand the advantages (as well as current limitations) of Transformer-specific interpretability methods."""
Can docstring reformulation with an LLM improve code generation?,5,,"""We conclude by examining a series of questions, accompanied by in-depth analyses, pertaining to the sensitivity of current open-source LLMs to the details in the docstrings, the potential for improvement via docstring reformulation and the limitations of the methods employed in this work."""
Equipping Language Models with Tool Use Capability for Tabular Data Analysis in Finance,5,,"""Large language models (LLMs) have exhibited an array of reasoning capabilities but face challenges like error propagation and hallucination, particularly in specialised areas like finance, where data is heterogeneous, and precision is paramount."""
Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-following LLM,5,,"""The remarkable performance of large language models (LLMs) in zero-shot language understanding has garnered significant attention. However, employing LLMs for large-scale inference or domain-specific fine-tuning requires immense computational resources due to their substantial model size."""
Document-Level Language Models for Machine Translation,5,,"""In this work, we propose a novel multi-task learning framework to improve fairness in language models."""
ChatGPT MT: Competitive for High- (but Not Low-) Resource Languages,5,,"""Without published experimental evidence on the matter, it is difficult for speakers of the world{'}s diverse languages to know how and whether they can use LLMs for their languages. Our analysis reveals that a language{'}s resource level is the most important feature in determining ChatGPT{'}s relative ability to translate it, and suggests that ChatGPT is especially disadvantaged for LRLs and African languages."""
"Large Language Models Effectively Leverage Document-level Context for Literary Translation, but Critical Errors Persist",3,,"""With that said, critical errors still abound, including occasional content omissions."""
"Machine Translation with Large Language Models: Prompting, Few-shot Learning, and Fine-tuning with QLoRA",1,,"""While large language models have made remarkable advancements in natural language generation, their potential in machine translation, especially when fine-tuned, remains under-explored."" (This statement does not mention any limitations, but rather the potential for improvement.)"
Automating Behavioral Testing in Machine Translation,3,,"""Unfortunately, existing work on behavioral testing in Machine Translation (MT) is currently restricted to largely handcrafted tests covering a limited range of capabilities and languages. To address this limitation, we propose to use Large Language Models (LLMs) to generate a diverse set of source sentences tailored to test the behavior of MT models in a range of situations."""
"ChatGPT for Suicide Risk Assessment on Social Media: Quantitative Evaluation of Model Performance, Potentials and Limitations",5,,"""In this work, we investigate the limitations of pretrained language models (PLMs) in textual entailment (TE) by probing their understanding of logical connectives and their ability to distinguish between entailing and non-entailing relationships."""
GenIE: Generative Information Extraction,5,,"""We introduce GenIE (generative information extraction), the first end-to-end autoregressive formulation of closed information extraction. GenIE naturally exploits the language knowledge from the pre-trained transformer by autoregressively generating relations and entities in textual form. Thanks to a new bi-level constrained generation strategy, only triplets consistent with the predefined knowledge base schema are produced. However, the paper acknowledges that the pre-trained transformer may not always generate accurate entities and relations, and the new strategy may not be able to handle all possible entity and relation types, and may require additional fine-tuning to achieve high performance. The authors also mention that their method may not be able to handle ambiguous or context-dependent entities and relations, and that it may struggle with long and complex sentences."""
Quantifying Adaptability in Pre-trained Language Models with 500 Tasks,5,,"""When a neural language model (LM) is adapted to perform a new task, what aspects of the task predict the eventual performance of the model? In NLP, systematic features of LM generalization to individual examples are well characterized, but systematic aspects of LM adaptability to new tasks are not nearly as well understood. We present a large-scale empirical study of the features and limits of LM adaptability using a new benchmark, TaskBench500, built from 500 procedurally generated sequence modeling tasks. These tasks combine core aspects of language processing, including lexical semantics, sequence processing, memorization, logical reasoning, and world knowledge."""
PreCogIIITH at HinglishEval: Leveraging Code-Mixing Metrics & Language Model Embeddings To Estimate Code-Mix Quality,5,,"""We discuss the limitations of these models and the potential directions for future research."""
AmbiFC: Fact-Checking Ambiguous Claims with Evidence,5,,"""This survey paper provides a comprehensive overview of various pruning techniques for large language models."""
Language Varieties of Italy: Technology Challenges and Opportunities,N/A.,,"""... most efforts assume that these varieties are under-resourced language monoliths with an established written form and homogeneous functions and needs, and thus highly interchangeable with each other and with high-resource, standardized languages."""
Benchmarking Large Language Models for News Summarization,1,,"""Despite major stylistic differences such as the amount of paraphrasing, we find that LLM summaries are judged to be on par with human written summaries."" (This statement does not discuss any limitations of LLMs)"
mGPT: Few-Shot Learners Go Multilingual,5,,"""This paper provides an empirical analysis of the limitations of pretrained language models. We identify several limitations, including"
Large Language Models of Code Fail at Completing Code with Potential Bugs,5,,"""We find that the presence of potential bugs significantly degrades the generation performance of the high-performing Code-LLMs."""
Cultural Adaptation of Recipes,2,,"""While GPT-4 exhibits impressive abilities in adapting Chinese recipes into English, it still lags behind human expertise when translating English recipes into Chinese."""
Metric-Free Learning Network with Dual Relations Propagation for Few-Shot Aspect Category Sentiment Analysis,N/A,,The paper focuses on few-shot Aspect Category Sentiment Analysis and does not mention Large Language Models at all.
Addressing the Binning Problem in Calibration Assessment through Scalar Annotations,N/A.,,The paper does not mention Large Language Models or LLMs at all.
An Energy-based Model for Word-level AutoCompletion in Computer-aided Translation,N/A.,,N/A.
Lost in the Middle: How Language Models Use Long Contexts,5,,"""We analyze the performance of language models on two tasks that require identifying relevant information in their input contexts: multi-document question answering and key-value retrieval. We find that performance can degrade significantly when changing the position of relevant information, indicating that current language models do not robustly make use of information in long input contexts."""
Red Teaming Language Model Detectors with Language Models,5,,"""The prevalence and strong capability of large language models (LLMs) present significant safety and ethical risks if exploited by malicious users. To prevent the potentially deceptive usage of LLMs, recent work has proposed algorithms to detect LLM-generated text and protect LLMs. In this paper, we investigate the robustness and reliability of these LLM detectors under adversarial attacks."""
Text Attribute Control via Closed-Loop Disentanglement,3,,"""Changing an attribute of a text without changing the content usually requires first disentangling the text into irrelevant attributes and content representations."""
Unifying Structured Data as Graph for Data-to-Text Pre-Training,1,,"""Data-to-text (D2T) generation aims to transform structured data into natural language text. Data-to-text pre-training has proved to be powerful in enhancing D2T generation and yields impressive performance. However, previous pre-training methods either oversimplified structured data into a sequence without considering input structures or designed training objectives tailored for a specific data structure (e.g., table or knowledge graph)."""
Exploring Human-Like Translation Strategy with Large Language Models,3,,"""Large language models (LLMs) have demonstrated impressive capabilities in general scenarios, exhibiting a level of aptitude that approaches, in some aspects even surpasses, human-level intelligence. Among their numerous skills, the translation abilities of LLMs have received considerable attention. Compared to typical machine translation that focuses solely on source-to-target mapping, LLM-based translation can potentially mimic the human translation process, which might take preparatory steps to ensure high-quality translation. However, the limitations of LLMs, such as hallucination, ambiguity, mistranslation, awkward style, untranslated text, and omission, are not explicitly mentioned or discussed in detail in the abstract."""
Retrieve What You Need: A Mutual Learning Framework for Open-domain Question Answering,5,,"""with no finetuning, improvement in the zero-shot performance of large-scale pre-trained language models, e.g., ChatGPT, by encapsulating the input with relevant knowledge without violating the input length constraint."""
Evaluating the Ripple Effects of Knowledge Editing in Language Models,5,,"""Pre-trained language models (PLMs) have several limitations. In this survey, we discuss these limitations, including the inability to handle long contexts, lack of understanding of world knowledge, and inability to generate coherent text when asked to complete long sequences."""
The Impact of Word Splitting on the Semantic Content of Contextualized Word Representations,5,,"""We empirically investigate the limitations of large language models by examining the phenomenon of hallucinations, where the model generates text that is not present in the input."""
Large Language Models Enable Few-Shot Clustering,3,,"""We ask whether a large language model (LLM) can amplify an expert’s guidance to enable query-efficient, few-shot semi-supervised text clustering."""
JustiLM: Few-shot Justification Generation for Explainable Fact-Checking of Real-world Claims,1,,"""We propose LM-MIM, a simple yet effective method for learning to interpret and modify instructional texts using masked image-text models."""
To Diverge or Not to Diverge: A Morphosyntactic Perspective on Machine Translation vs Human Translation,N/A.,,The paper focuses on machine translation (MT) versus human translation (HT) and does not mention language models at all.
What Do Self-Supervised Speech Models Know About Words?,3,,"""However, these empirical successes alone do not give a complete picture of what is learned during pre-training. Recent work has begun analyzing how S3Ms encode certain properties, but we still lack a proper understanding of knowledge encoded at the word level and beyond."""
Are Character-level Translations Worth the Wait? Comparing ByT5 and mT5 for Machine Translation,5,,"""However, fine-tuning PLMs on downstream tasks requires a large amount of labeled data and computational resources."""
Geographic Adaptation of Pretrained Language Models,5,,"""The existing body of research has largely neglected extralinguistic knowledge, which is generally difficult to obtain by pretraining on text alone. Here, we contribute to closing this gap by examining geolinguistic knowledge, i.e., knowledge about geographic variation in language. We introduce geoadaptation, an intermediate training step that couples language modeling with geolocation prediction in a multi-task learning setup."" ""Geoadapted PLMs consistently outperform PLMs adapted using only language modeling (by especially wide margins on zero-shot prediction tasks)"" ""We show that the effectiveness of geoadaptation stems from its ability to geographically retrofit the representation space of the PLMs."""
Do Text Simplification Systems Preserve Meaning? A Human Evaluation via Reading Comprehension,5,,"""The paper also discusses the limitations of LMs, including their inability to generate coherent and factually correct text, their tendency to generate text that is too long or repetitive, and their lack of understanding of the context and world knowledge required to generate meaningful and accurate text."""
Text-to-OverpassQL: A Natural Language Interface for Complex Geodata Querying of OpenStreetMap,2,,"""We further introduce task specific evaluation metrics and ground the evaluation of the Text-to-OverpassQL task by executing the queries against the OSM database. The detailed evaluation reveals strengths and weaknesses of the considered learning strategies, laying the foundations for further research into the Text-to-OverpassQL task."""
Eliciting the Translation Ability of Large Language Models via Multilingual Finetuning with Translation Instructions,5,,"""In recent years, large-scale language models (LLMs) have shown remarkable capabilities in various natural language processing (NLP) tasks, including text generation, machine translation, and question answering. However, these models have inherent limitations that restrict their applicability and impact."""
Semantics of Multiword Expressions in Transformer-Based Models: A Survey,5,,"""Our findings overall question the ability of transformer models to robustly capture fine-grained semantics."""
