Source ,Title,Talks about LLMs,Rate,Evidence
aacl2022,Arabic Dialect Identification with a Few Labeled Examples Using Generative Adversarial Networks,Yes.,2,"""However, to fine-tune these models, a large corpus is required. Getting a large number high quality labeled examples for some Dialect Arabic classes is challenging and time-consuming."""
aacl2022,Named Entity Recognition in Twitter: A Dataset and Analysis on Short-Term Temporal Shifts,,,
aacl2022,VLStereoSet: A Study of Stereotypical Bias in Pre-trained Vision-Language Models,Yes.,4,"""Experiments on six representative pre-trained vision-language models demonstrate that stereotypical biases clearly exist in most of these models and across all four bias categories, with gender bias slightly more evident."""
aacl2022,Is Encoder-Decoder Redundant for Neural Machine Translation?,,,
aacl2022,SBERT studies Meaning Representations: Decomposing Sentence Embeddings into Explainable Semantic Features,,,
aacl2022,Unsupervised Domain Adaptation for Sparse Retrieval by Filling Vocabulary and Word Frequency Gaps,Yes.,3,"""SPLADE still struggles with exact matching of low-frequency words in training data. In addition, domain shifts in vocabulary and word frequencies deteriorate the IR performance of SPLADE."""
aacl2022,Cross-lingual Few-Shot Learning on Unseen Languages,Yes.,3,"""However, this was mostly studied for relatively resource-rich languages, where at least enough unlabeled data is available to be included in pre-training a multilingual language model."" and ""we explore the problem of cross-lingual transfer in unseen languages, where no unlabeled data is available for pre-training a model."""
aacl2022,Enhancing Financial Table and Text Question Answering with Tabular Graph and Numerical Reasoning,Yes.,3,"""their performances fall significantly when data and computational resources are limited."""
aacl2022,A Simple Yet Effective Hybrid Pre-trained Language Model for Unsupervised Sentence Acceptability Prediction,Yes.,3,"""first, low-frequency words would have a significant negative impact on the sentence likelihood derived from the language model; second, when it comes to multiple domains, the language model needs to be trained on domain-specific text for domain adaptation."""
aacl2022,Do ever larger octopi still amplify reporting biases? Evidence from judgments of typical colour,Yes.,3,"""texts rarely report on common facts, instead focusing on the unusual aspects of a situation. If LMs are only trained on text corpora and naively memorise local co-occurrence statistics, they thus naturally would learn a biased view of the physical world."""
aacl2022,Demographic-Aware Language Model Fine-tuning as a Bias Mitigation Technique,Yes.,4,"""BERT-like language models (LMs), when exposed to large unstructured datasets, are known to learn and sometimes even amplify the biases present in such data."""
aacl2022,MiQA: A Benchmark for Inference on Metaphorical Questions,Yes.,3,"""We examine the performance of state-of-the-art pre-trained models on binary-choice tasks and find a large discrepancy between the performance of small and very large models, going from chance to near-human level."" and ""We also analyse the largest model in a generative setting and find that although human performance is approached, careful multiple-shot prompting is required."""
aacl2022,CLASP: Few-Shot Cross-Lingual Data Augmentation for Semantic Parsing,Yes.,2,"""LLMs are unsuitable for runtime systems which require low latency."""
aacl2022,Toward Building a Language Model for Understanding Temporal Commonsense,Yes.,3,"""pre-trained language models such as BERT, which have recently achieved great success in a wide range of natural language processing tasks, are still considered to have poor performance in temporal reasoning."""
aacl2022,C3PO: A Lightweight Copying Mechanism for Translating Pseudocode to Code,Yes.,3,"""While large language models (LLMs) have been proposed to translate natural language pseudocode to PL code, they are costly in terms of data and compute."""
emnlp2022,RankGen: Improving Text Generation with Large Ranking Models,Yes.,5,"""modern language models often assign high probabilities to output sequences that are repetitive, incoherent, or irrelevant to the prefix; as such, model-generated text also contains such artifacts."""
emnlp2022,"Tomayto, Tomahto. Beyond Token-level Answer Equivalence for Question Answering Evaluation",No.,1,The abstract does not mention LLMs or their limitations. It focuses on the evaluation of QA systems and the shortcomings of token-level equivalence measures.
emnlp2022,UnifiedSKG: Unifying and Multi-Tasking Structured Knowledge Grounding with Text-to-Text Language Models,Yes.,3,"""we show that T0, GPT-3, and Codex struggle in zero-shot and few-shot learning for SKG."""
emnlp2022,DocInfer: Document-level Natural Language Inference using Optimal Evidence Selection,Yes.,3,"""Our evidence selection mechanism allows it to transcend the input length limitation of modern BERT-like Transformer models while presenting the entire evidence together for inferential reasoning."""
emnlp2022,Entity Extraction in Low Resource Domains with Selective Pre-training of Large Language Models,Yes.,3,"""Transformer-based language models trained on large natural language corpora have been very useful in downstream entity extraction tasks. However, they often result in poor performances when applied to domains that are different from those they are pretrained on."""
emnlp2022,How Large Language Models are Transforming Machine-Paraphrase Plagiarism,Yes.,2,"""The recent success of large language models for text generation poses a severe threat to academic integrity, as plagiarists can generate realistic paraphrases indistinguishable from original work."""
emnlp2022,ELMER: A Non-Autoregressive Pre-trained Language Model for Efficient and Effective Text Generation,,,
emnlp2022,Z-LaVI: Zero-Shot Language Solver Fueled by Visual Imagination,Yes.,3,"""However, they generally suffer from reporting bias, the phenomenon describing the lack of explicit commonsense knowledge in written text, e.g., 'an orange is orange'."""
emnlp2022,Generative Multi-hop Retrieval,Yes.,3,"""However, such a bi-encoder approach has limitations in multi-hop settings; (1) the reformulated query gets longer as the number of hops increases, which further tightens the embedding bottleneck of the query vector, and (2) it is prone to error propagation."""
emnlp2022,Extracted BERT Model Leaks More Information than You Think!,Yes.,3,"""Our extensive experiments reveal that model extraction can cause severe privacy leakage even when victim models are facilitated with state-of-the-art defensive strategies."""
emnlp2022,An Empirical Analysis of Memorization in Fine-tuned Autoregressive Language Models,Yes.,5,"""Large language models are shown to present privacy risks through memorization of training data,"" and ""we empirically study memorization of fine-tuning methods using membership inference and extraction attacks, and show that their susceptibility to attacks is very different."""
emnlp2022,EvEntS ReaLM: Event Reasoning of Entity States via Language Models,Yes.,5,"""Nominally, Large Language models (LLM) have been exposed to procedural knowledge about how objects interact, yet our benchmarking shows they fail to reason about the world."""
emnlp2022,Large language models are few-shot clinical information extractors,Yes.,1,"""large language models, such as InstructGPT (Ouyang et al., 2022), perform well at zero- and few-shot information extraction from clinical text despite not being trained specifically for the clinical domain."""
emnlp2022,Are Hard Examples also Harder to Explain? A Study with Human and Model-Generated Explanations,Yes.,3,"""for hard examples, human explanations are significantly better than GPT-3 explanations both in terms of label-supportiveness and generalizability judgements."""
emnlp2022,Gradient-based Constrained Sampling from Language Models,Yes.,3,"""Large pretrained language models are successful at generating fluent text but are notoriously hard to controllably sample from."""
emnlp2022,Rich Knowledge Sources Bring Complex Knowledge Conflicts: Recalibrating Models to Reflect Conflicting Evidence,Yes.,5,"""we simulate knowledge conflicts (i.e., where parametric knowledge suggests one answer and different passages suggest different answers) and examine model behaviors"" and ""contradictions among knowledge sources affect model confidence only marginally."""
emnlp2022,SafeText: A Benchmark for Exploring Physical Safety in Language Models,Yes.,5,"""We find that state-of-the-art large language models are susceptible to the generation of unsafe text and have difficulty rejecting unsafe advice."""
emnlp2022,Language Model Decomposition: Quantifying the Dependency and Correlation of Language Models,Yes.,2,"""To further advance SOTA we need more diverse and novel LMs that are less dependent on existing LMs."""
emnlp2022,Calibrating Zero-shot Cross-lingual (Un-)structured Predictions,Yes.,3,"""We find that models trained with data from the source language become less calibrated when applied to the target language and that calibration errors increase with intrinsic task difficulty and relative sparsity of training data."""
emnlp2022,Fast-R2D2: A Pretrained Recursive Neural Network based on Pruned CKY for Grammar Induction and Text Representation,,,
emnlp2022,Memory-assisted prompt editing to improve GPT-3 after deployment,Yes.,5,"""Large LMs such as GPT-3 are powerful, but can commit mistakes that are obvious to humans."""
emnlp2022,ROSE: Robust Selective Fine-tuning for Pre-trained Language Models,Yes.,3,"""Even though the large-scale language models have achieved excellent performances, they suffer from various adversarial attacks. A large body of defense methods has been proposed. However, they are still limited due to redundant attack search spaces and the inability to defend against various types of attacks."""
emnlp2022,Reproducibility Issues for BERT-based Evaluation Metrics,Yes.,3,"""We find that reproduction of claims and results often fails because of (i) heavy undocumented preprocessing involved in the metrics, (ii) missing code and (iii) reporting weaker results for the baseline metrics."""
emnlp2022,Generative Entity Typing with Curriculum Learning,Yes.,3,"""PLMs tend to generate coarse-grained types after fine-tuning upon the entity typing dataset."""
emnlp2022,Revisiting Pre-trained Language Models and their Evaluation for Arabic Natural Language Processing,Yes.,2,"""This work addresses two major problems in existing Arabic PLMs that limit the progress of the Arabic NLU and NLG fields."""
emnlp2022,Nearest Neighbor Zero-Shot Inference,Yes.,1,"""Retrieval-augmented language models (LMs) use non-parametric memory to substantially outperform their non-retrieval counterparts on perplexity-based evaluations, but it is an open question whether they achieve similar gains in few- and zero-shot end-task accuracy."""
emnlp2022,RLPrompt: Optimizing Discrete Text Prompts with Reinforcement Learning,Yes.,2,"""Interestingly, the resulting optimized prompts are often ungrammatical gibberish text; and surprisingly, those gibberish prompts are transferrable between different LMs to retain significant performance, indicating that LM prompting may not follow human language patterns."""
emnlp2022,BERTScore is Unfair: On Social Bias in Language Model-Based Metrics for Text Generation,Yes.,4,"""However, it has been demonstrated that PLMs encode a range of stereotypical societal biases, leading to a concern about the fairness of PLMs as metrics."" and ""We demonstrate that popular PLM-based metrics exhibit significantly higher social bias than traditional metrics on 6 sensitive attributes,"
emnlp2022,HPT: Hierarchy-aware Prompt Tuning for Hierarchical Text Classification,Yes.,3,"""there exists a huge gap between the classification tasks with sophisticated label hierarchy and the masked language model (MLM) pretraining tasks of PLMs and thus the potential of PLMs cannot be fully tapped."""
emnlp2022,Neural Theory-of-Mind? On the Limits of Social Intelligence in Large LMs,Yes.,5,"""We show that one of today’s largest language models (GPT-3; Brown et al., 2020) lacks this kind of social intelligence out-of-the box,"" and ""Our results show that models struggle substantially at these Theory of Mind tasks,"" and ""we"
emnlp2022,Improving Temporal Generalization of Pre-trained Language Models with Lexical Semantic Change,Yes.,5,"""neural language models at scale suffer from poor temporal generalization capability"" and ""language model pre-trained on static data from past years performs worse over time on emerging data."""
emnlp2022,Perturbation Augmentation for Fairer NLP,Yes.,4,"""Unwanted and often harmful social biases are becoming ever more salient in NLP research, affecting both models and datasets,"" and ""Lastly, we discuss outstanding questions about how best to evaluate the (un)fairness of large language models."""
